state,year,month,articles_all,articles_EPU_BBD,articles_EPU_Composite,articles_EPU_National,articles_EPU_State,ym,EPU_BBD,EPU_National,EPU_State,EPU_Composite,US_monthly_EPU,max_new_case,max_new_death,total_new_case,total_new_death,new_case,new_death,tot_cases,tot_death,is_school,is_res,is_bus,is_sip,repub_share_2016,stayathomeorder,mandatoryquarantinefortravelers,nonessentialbusinessclosures,largegatheringsban,schoolclosures,restaurantlimits,facecoveringrequirement,barclosures,unemp,emp,coincident_indic,population,state_code,period,lpop,num_papers,pres_general_election,pres_vote_margin,gov_general_election,gov_general_vote_share,gov_repub_dem_third,gov_primary_election,gov_primary_vote_share
AK,2000,1,1551,3,5,5,3,2000,112.47205,187.45341,112.47205,187.45341,85.910286,,,,,,,,,,,,,.51281512,,,,,,,,,6.2,282,90.956965342,627963,AK,24001,13.350237,4,,,,,,,
AK,2000,2,1603,3,3,3,2,2000.0834,108.82355,108.82355,72.549034,108.82355,70.827255,,,,,,,,,,,,,.51281512,,,,,,,,,6.2,282.2,91.036857602,627963,AK,24002,13.350237,4,,,,,,,
AK,2000,3,1989,1,2,2,2,2000.1666,29.234818,58.469635,58.469635,58.469635,70.762985,,,,,,,,,,,,,.51281512,,,,,,,,,6.2,283.4,91.20265286,627963,AK,24003,13.350237,4,,,,,,,
AK,2000,4,1894,1,3,2,1,2000.25,30.701189,61.402378,30.701189,92.103561,68.157471,,,,,,,,,,,,,.51281512,,,,,,,,,6.3,283,91.24021223699999,627963,AK,24004,13.350237,4,,,,,,,
AK,2000,5,1927,3,6,3,4,2000.3334,90.526283,90.526283,120.70171,181.05257,114.05625,,,,,,,,,,,,,.51281512,,,,,,,,,6.3,283.9,91.37595642300001,627963,AK,24005,13.350237,4,,,,,,,
AK,2000,6,1934,3,6,3,4,2000.4166,90.198631,90.198631,120.26484,180.39726,105.79335,,,,,,,,,,,,,.51281512,,,,,,,,,6.4,284.1,91.348112543,627963,AK,24006,13.350237,4,,,,,,,
AK,2000,7,1952,1,3,3,2,2000.5,29.788958,89.366882,59.577915,89.366882,83.660553,,,,,,,,,,,,,.51281512,,,,,,,,,6.4,284.8,91.426183271,627963,AK,24007,13.350237,4,,,,,,,
AK,2000,8,1951,1,2,1,1,2000.5834,29.80423,29.80423,29.80423,59.608459,56.868694,,,,,,,,,,,,,.51281512,,,,,,,,,6.4,284.8,91.522019786,627963,AK,24008,13.350237,4,,,,,,,
AK,2000,9,2022,1,2,1,1,2000.6666,28.757689,28.757689,28.757689,57.515377,71.00663,,,,,,,,,,,,,.51281512,,,,,,,,,6.4,284,91.513290109,627963,AK,24009,13.350237,4,,,,,,,
AK,2000,10,2253,1,3,1,3,2000.75,25.809166,25.809166,77.42749,77.42749,86.803047,,,,,,,,,,,,,.51281512,,,,,,,,,6.4,285.1,91.64721756,627963,AK,24010,13.350237,4,,,,,,,
AK,2000,11,2067,3,3,3,1,2000.8334,84.394844,84.394844,28.131617,84.394844,160.4352,,,,,,,,,,,,,.51281512,,,,,,,,,6.3,285.1,91.74966748,627963,AK,24011,13.350237,4,1,.0050967471,,,,,
AK,2000,12,1947,2,3,3,2,2000.9166,59.730915,89.596382,59.730915,89.596382,144.27859,,,,,,,,,,,,,.51281512,,,,,,,,,6.3,286.5,91.919887258,627963,AK,24012,13.350237,4,,,,,,,
AK,2001,1,2144,4,4,1,4,2001,108.48517,27.121292,108.48517,108.48517,137.68063,,,,,,,,,,,,,.51281512,,,,,,,,,6.2,284.3,91.95632590300001,633714,AK,24013,13.359353,5,,,,,,,
AK,2001,2,2173,5,4,3,3,2001.0834,133.79671,80.27803,80.27803,107.03737,124.17607,,,,,,,,,,,,,.51281512,,,,,,,,,6.1,287.1,92.23393676800001,633714,AK,24014,13.359353,5,,,,,,,
AK,2001,3,2431,3,3,2,1,2001.1666,71.758186,47.838791,23.919395,71.758186,132.62195,,,,,,,,,,,,,.51281512,,,,,,,,,6.1,286.9,92.345856273,633714,AK,24015,13.359353,5,,,,,,,
AK,2001,4,2256,1,2,2,1,2001.25,25.774843,51.549686,25.774843,51.549686,143.61198,,,,,,,,,,,,,.51281512,,,,,,,,,6.1,289.2,92.55798939,633714,AK,24016,13.359353,5,,,,,,,
AK,2001,5,2296,1,2,2,1,2001.3334,25.325806,50.651611,25.325806,50.651611,113.37375,,,,,,,,,,,,,.51281512,,,,,,,,,6.1,289.2,92.65827396500001,633714,AK,24017,13.359353,5,,,,,,,
AK,2001,6,2237,3,3,1,2,2001.4166,77.981293,25.993763,51.987526,77.981293,90.228104,,,,,,,,,,,,,.51281512,,,,,,,,,6.1,289.3,92.64067906,633714,AK,24018,13.359353,5,,,,,,,
AK,2001,7,2447,3,2,1,1,2001.5,71.288986,23.762997,23.762997,47.525993,116.13321,,,,,,,,,,,,,.51281512,,,,,,,,,6.2,291.3,92.802944029,633714,AK,24019,13.359353,5,,,,,,,
AK,2001,8,2430,3,3,2,2,2001.5834,71.78772,47.858479,47.858479,71.78772,92.099777,,,,,,,,,,,,,.51281512,,,,,,,,,6.3,292.1,92.94196685599999,633714,AK,24020,13.359353,5,,,,,,,
AK,2001,9,2993,4,4,2,3,2001.6666,77.712059,38.85603,58.28405,77.712059,263.32867,,,,,,,,,,,,,.51281512,,,,,,,,,6.4,291.3,92.82445608899999,633714,AK,24021,13.359353,5,,,,,,,
AK,2001,10,3251,5,6,2,4,2001.75,89.431023,35.772408,71.544815,107.31722,238.73955,,,,,,,,,,,,,.51281512,,,,,,,,,6.5,291.4,92.852497871,633714,AK,24022,13.359353,5,,,,,,,
AK,2001,11,2999,7,10,6,4,2001.8334,135.72403,116.33488,77.556587,193.89146,166.52188,,,,,,,,,,,,,.51281512,,,,,,,,,6.6,290,92.709256119,633714,AK,24023,13.359353,5,,,,,,,
AK,2001,12,3095,5,6,2,5,2001.9166,93.93869,37.575478,93.93869,112.72643,144.53001,,,,,,,,,,,,,.51281512,,,,,,,,,6.7,289,92.507437428,633714,AK,24024,13.359353,5,,,,,,,
