state,year,month,articles_all,articles_EPU_BBD,articles_EPU_Composite,articles_EPU_National,articles_EPU_State,ym,EPU_BBD,mean_frac_EPU_BBD,EPU_National,mean_frac_EPU_National,EPU_State,mean_frac_EPU_State,EPU_Composite,mean_frac_EPU_Composite
AK,2000,1,1551,3,5,5,3,2000,112.47205,.00070553576,187.45341,.00053594174,112.47205,.00056916394,187.45341,.00089133414
AK,2000,2,1603,3,3,3,2,2000.0834,108.82355,.00064390886,108.82355,.00050240254,72.549034,.00045090393,108.82355,.00079851376
AK,2000,3,1989,1,2,2,2,2000.1666,29.234818,.00071876601,58.469635,.00057000102,58.469635,.0004601221,58.469635,.00087816705
AK,2000,4,1894,1,3,2,1,2000.25,30.701189,.00071137375,61.402378,.0006883617,30.701189,.00040046481,92.103561,.00092128065
AK,2000,5,1927,3,6,3,4,2000.3334,90.526283,.00081572519,90.526283,.00069522986,120.70171,.00046278033,181.05257,.00099344458
AK,2000,6,1934,3,6,3,4,2000.4166,90.198631,.00069315877,90.198631,.00067208678,120.26484,.00043494644,180.39726,.00090111652
AK,2000,7,1952,1,3,3,2,2000.5,29.788958,.00066136924,89.366882,.00054795411,59.577915,.00042409211,89.366882,.0007799624
AK,2000,8,1951,1,2,1,1,2000.5834,29.80423,.00059666007,29.80423,.00057868392,29.80423,.00035282061,59.608459,.00074605591
AK,2000,9,2022,1,2,1,1,2000.6666,28.757689,.00069490733,28.757689,.00067475217,28.757689,.00047202827,57.515377,.00093671965
AK,2000,10,2253,1,3,1,3,2000.75,25.809166,.00070106005,25.809166,.00069823588,77.42749,.00049887254,77.42749,.0010035312
AK,2000,11,2067,3,3,3,1,2000.8334,84.394844,.0012904898,84.394844,.0015785496,28.131617,.00055816537,84.394844,.0018618915
AK,2000,12,1947,2,3,3,2,2000.9166,59.730915,.0012495897,89.596382,.0012985088,59.730915,.00072182663,89.596382,.0016757281
AK,2001,1,2144,4,4,1,4,2001,108.48517,.0011774704,27.121292,.0010000349,108.48517,.00079565914,108.48517,.0014970865
AK,2001,2,2173,5,4,3,3,2001.0834,133.79671,.0013509146,80.27803,.00097765832,80.27803,.00073110627,107.03737,.001478908
AK,2001,3,2431,3,3,2,1,2001.1666,71.758186,.0013163952,47.838791,.0010714021,23.919395,.0005580273,71.758186,.0014658255
AK,2001,4,2256,1,2,2,1,2001.25,25.774843,.0011432049,51.549686,.00098596758,25.774843,.00057633274,51.549686,.001433088
AK,2001,5,2296,1,2,2,1,2001.3334,25.325806,.00096615078,50.651611,.00069652539,25.325806,.00056363276,50.651611,.0010893921
AK,2001,6,2237,3,3,1,2,2001.4166,77.981293,.00072440994,25.993763,.00062374119,51.987526,.00045279512,77.981293,.00095439272
AK,2001,7,2447,3,2,1,1,2001.5,71.288986,.0010347917,23.762997,.00081043172,23.762997,.00049308734,47.525993,.0011503702
AK,2001,8,2430,3,3,2,2,2001.5834,71.78772,.00091226288,47.858479,.0007322536,47.858479,.00053980201,71.78772,.0010901605
AK,2001,9,2993,4,4,2,3,2001.6666,77.712059,.0022523012,38.85603,.0021587608,58.28405,.0010561444,77.712059,.0029164159
AK,2001,10,3251,5,6,2,4,2001.75,89.431023,.0023634634,35.772408,.0019686311,71.544815,.0013486809,107.31722,.0030450397
AK,2001,11,2999,7,10,6,4,2001.8334,135.72403,.0017572577,116.33488,.0014603114,77.556587,.0011740935,193.89146,.0023571653
AK,2001,12,3095,5,6,2,5,2001.9166,93.93869,.0013762037,37.575478,.0010727339,93.93869,.00093680288,112.72643,.0017167956
AK,2002,1,3656,4,7,3,5,2002,63.619312,.0014547592,47.714485,.0010454446,79.524132,.00092019385,111.33379,.0017328939
AK,2002,2,3769,7,8,5,5,2002.0834,107.99584,.00099578907,77.139893,.00075109344,77.139893,.00060085964,123.42382,.0011614722
AK,2002,3,3946,7,5,2,4,2002.1666,103.15163,.00099797104,29.471897,.00072672957,58.943794,.00068950199,73.679741,.0012403011
AK,2002,4,3357,12,8,4,6,2002.25,207.85719,.00083522621,69.285728,.00065153639,103.9286,.00066469138,138.57146,.001137099
AK,2002,5,3372,3,4,1,3,2002.3334,51.733139,.00099335716,17.244381,.00075209094,51.733139,.00066360098,68.977524,.0012610657
AK,2002,6,3336,5,6,4,3,2002.4166,87.152351,.00089527137,69.721886,.00074077625,52.291412,.00064922142,104.58282,.0012043251
