D01,D02,D03,D04,D05,D06,D07,D08,D09,FEVD01,FEVD04,FEVD07,FEVD02,FEVD05,FEVD08,FEVD03,FEVD06,FEVD09,step,pD01_ll,pD01_ul,pD02_ll,pD02_ul,pD03_ll,pD03_ul,pD04_ll,pD04_ul,pD05_ll,pD05_ul,pD06_ll,pD06_ul,pD07_ll,pD07_ul,pD08_ll,pD08_ul,pD09_ll,pD09_ul,pFEVD01_ll,pFEVD01_ul,pFEVD04_ll,pFEVD04_ul,pFEVD07_ll,pFEVD07_ul,pFEVD02_ll,pFEVD02_ul,pFEVD05_ll,pFEVD05_ul,pFEVD08_ll,pFEVD08_ul,pFEVD03_ll,pFEVD03_ul,pFEVD06_ll,pFEVD06_ul,pFEVD09_ll,pFEVD09_ul,nD01_ll,nD01_ul,nD02_ll,nD02_ul,nD03_ll,nD03_ul,nD04_ll,nD04_ul,nD05_ll,nD05_ul,nD06_ll,nD06_ul,nD07_ll,nD07_ul,nD08_ll,nD08_ul,nD09_ll,nD09_ul,nFEVD01_ll,nFEVD01_ul,nFEVD04_ll,nFEVD04_ul,nFEVD07_ll,nFEVD07_ul,nFEVD02_ll,nFEVD02_ul,nFEVD05_ll,nFEVD05_ul,nFEVD08_ll,nFEVD08_ul,nFEVD03_ll,nFEVD03_ul,nFEVD06_ll,nFEVD06_ul,nFEVD09_ll,nFEVD09_ul
.44591922,.10831221,.0066130501,0,.28749177,.005731618,0,0,.1247092,0,0,0,0,0,0,0,0,0,0,.41900951,.47127497,.080107465,.1380963,.00025378427,.019694742,0,0,.26077527,.31307143,-.00028063165,.013069354,0,0,0,0,.074564144,.21293065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.4208881,.47095034,.080233768,.13639066,-.0025053152,.015731415,0,0,.26152846,.31345508,-.0011188728,.012582109,0,0,0,0,.055792212,.1936262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.16290762,.085303672,.011998571,.071661174,.13831964,.014975221,.018631037,.01791654,.17575237,1,0,0,.12429705,.87570292,0,.0027981647,.0021019585,.9950999,1,.13342908,.18346786,.062696502,.10582924,.0016644893,.029723469,.049995333,.090486683,.11224145,.15889451,.0041613979,.026668064,-.0017675147,.036275089,.00023661549,.031655662,.10526688,.29033512,1,1,0,0,0,0,.077618718,.19008191,.80991805,.92238128,0,0,.00003345657,.011467079,.000022192022,.010186119,.98278183,.99951267,.13908808,.18672714,.063102387,.10750495,-.001552486,.025549628,.0507719,.092550442,.11554734,.16109195,.0043272129,.025623228,-.0014729279,.038735002,.0015893019,.034243777,.080963224,.27054152,1,1,0,0,0,0,.07015118,.17844293,.82155704,.92984879,0,0,-.002504885,.0081012147,-.0033790655,.0075829825,.9864924,1.0037074
.11347776,.066723801,.020397445,.058905989,.10814296,.025889263,.023609504,.027677614,.23242202,.97625268,.022243813,.0015035416,.1569463,.84040326,.0026504351,.0040032798,.0054836883,.99051303,2,.084819287,.13121718,.039977178,.087601706,.0049094493,.041060884,.035029262,.080463633,.083081141,.12894481,.010089098,.041991808,-.0011215633,.045790017,.0011884335,.049571402,.13806364,.38320446,.96230268,.9875955,.01155317,.03573899,8.4516814e-06,.0057731415,.099362731,.22470336,.77200818,.90043336,8.5595257e-06,.0087203672,.00020878299,.01223273,.00066909101,.019895777,.97196519,.99807644,.088682182,.13827334,.044064175,.089383431,.0021199074,.038674984,.035977427,.081834547,.085817866,.13046806,.010932316,.04084621,-.00026356743,.047482572,.0052490984,.050106131,.10848257,.35636148,.96331882,.98918653,.0096427938,.034844831,-.0015842788,.0045913621,.097420782,.21647182,.78086454,.89994198,-.0019564682,.0072573386,-.0023278284,.010334388,-.0040295995,.014996976,.97796768,1.0030584
.092165813,.042301372,.02261214,.040892199,.079533949,.034264911,.028867217,.028606454,.24238078,.96161854,.034730785,.0036506637,.16997014,.82215416,.0078757033,.0059195971,.0090924678,.98498791,3,.061205935,.11421145,.016649401,.063592166,.0022836605,.043542031,.01049801,.062405504,.049524412,.095999435,.016148951,.050658751,.0013699871,.052747816,.0052893255,.048708536,.14334425,.39799622,.9396131,.97922391,.018359877,.055129394,.000087021821,.010993343,.1060126,.24076077,.75543284,.88797796,.00037701114,.021192633,.00060040044,.015520506,.0016824035,.029097926,.95826644,.9953711,.067650788,.11668084,.019034743,.065568,.001240109,.043984167,.014671693,.067112707,.05627783,.10279007,.016477151,.052052673,.00485209,.052882344,.0072907605,.049922146,.11438055,.37038103,.94170874,.98152834,.015934285,.053527284,-.002720766,.010022094,.1071652,.23277508,.75888151,.88542682,-.0038944189,.019645825,-.0019851523,.013824346,-.0046137995,.022798736,.96748614,1.0024897
.080627218,.040183552,.028800316,.032576174,.077226445,.042676784,.033576313,.028805342,.26252109,.9535678,.039716419,.0067157769,.17181417,.81522048,.012965354,.0068650409,.012937853,.98019713,4,.05018732,.10245524,.015839117,.061370179,.0053822203,.052581556,.0031879875,.058023915,.046058025,.096742436,.021591794,.061457578,.0059540654,.06249845,.0072371354,.050225839,.15408501,.43000335,.92525756,.97567999,.019417368,.064342439,.00057235744,.020197477,.10726871,.24322477,.74629629,.88575387,.0015780767,.035969585,.00063259923,.01905507,.002981375,.039309911,.94481361,.99384946,.055319455,.10593497,.017661251,.062705852,.004157545,.053443089,.0058846287,.059267715,.052355126,.10209776,.021974269,.063379295,.0086842412,.05846839,.0070351479,.050575536,.12467831,.40036386,.92903525,.97810036,.017172437,.062260401,-.0033572279,.016788783,.10711972,.23650862,.74934977,.88109118,-.0048909741,.030821683,-.0026701773,.016400259,-.0054329904,.031308696,.95721442,1.0031799
.076458529,.048663616,.032515965,.044251025,.076860569,.050838128,.025905717,.0207025,.28192773,.94689345,.042393833,.010712698,.17290859,.80948722,.017604215,.0083101206,.016764315,.97492558,5,.045653671,.097029217,.021666702,.074492097,.0065404093,.059016228,.01235994,.065597743,.041910689,.099137828,.028197756,.073561087,.0052614119,.044394359,.0019636143,.036688942,.16555962,.45268947,.91568464,.97012532,.020678166,.070972249,.0013280313,.032172196,.10767065,.24427757,.73919535,.87856853,.002230356,.048286524,.00055593136,.022419665,.0042853383,.050407398,.93053472,.9919582,.049655177,.10326188,.024698855,.072628379,.0043153446,.060716588,.017297484,.071204565,.049353566,.10436757,.027012317,.074663937,.0050530178,.046758417,.0023296145,.039075386,.13441361,.42944187,.91900051,.9747864,.017827291,.066960379,-.0039204787,.025345875,.10722529,.23859189,.74273068,.87624377,-.0059530227,.041161451,-.0032346754,.019854916,-.0062728389,.039801467,.94599986,1.0038513
.074787416,.033615682,.039664872,.02426118,.065497331,.058120787,.02779028,.023289341,.3044506,.93899602,.048188176,.012815787,.17816909,.80254841,.019282509,.0094658649,.020519938,.97001421,6,.043612055,.088663608,.010177731,.050576143,.010397015,.06904383,-.00086920807,.039641608,.036791563,.078747354,.032988377,.084913403,.0057012942,.047400601,.0047026407,.041524686,.17802581,.48149621,.90140587,.96656668,.023090102,.076868072,.001442814,.036131814,.11247341,.25083685,.72965908,.87037927,.0029264307,.053724214,.00054652448,.025518186,.005590809,.06510368,.91898638,.99038458,.052626736,.096948087,.014089428,.053141937,.0084550716,.070874676,.0044172173,.044105146,.044333659,.086661011,.031217886,.085023694,.0066755358,.048905022,.0033827648,.043195918,.14615595,.46274522,.90713584,.97085619,.020363245,.076013111,-.003801706,.029433278,.11075445,.24558371,.7339583,.87113851,-.0061832001,.044748217,-.0039022248,.022833955,-.0069696521,.04800953,.93543732,1.0045911
.055123862,.030939342,.044911955,.028124878,.05413748,.065507352,.02635972,.022569831,.32183585,.93568492,.049084295,.015230795,.17856732,.79963642,.021796266,.011030721,.023833724,.96513557,7,.027772168,.067246571,.0076247742,.045913957,.012362394,.076184064,.0039924625,.043911327,.025053833,.067190558,.035767958,.095789701,.004491454,.042692512,.0013384456,.039129436,.1861783,.50636208,.89458925,.96562755,.022921693,.078111492,.0020053426,.040959187,.11233084,.25237215,.72720301,.86836338,.0038558156,.059085384,.00071714493,.02936697,.0063296584,.076292604,.90800548,.98892474,.035522271,.074725449,.012173415,.049705271,.010478988,.079344921,.0087413266,.04750843,.033425216,.074849747,.035243325,.095771387,.00516683,.047552612,.002683026,.042456634,.15565154,.48802018,.90173995,.96962988,.020571634,.077596955,-.0042667431,.034728333,.11036249,.24677214,.72994179,.86933106,-.0072437814,.050836314,-.0044647078,.026526149,-.0078419307,.055509377,.92475975,1.0055114
.04500962,.026585722,.050030183,.025224255,.045950931,.071854502,.028274713,.024587391,.33268955,.93152767,.051063772,.01740858,.17955334,.79627955,.024167093,.012564998,.027021019,.96041399,8,.019805383,.056064822,.0036160806,.04013522,.014448624,.084283113,.0038117827,.038743585,.019769132,.057943016,.038852371,.10580508,.0034657442,.044267908,.0042441366,.039314415,.19156754,.51887155,.88784194,.96382838,.023501854,.080394641,.0021823845,.044577844,.1123445,.25581068,.72391915,.8668617,.004290883,.064562179,.00099465589,.033034589,.0071072709,.086348698,.89318061,.98691881,.027039662,.062979579,.0093161473,.043855298,.012746861,.08731351,.0069172294,.043531284,.026416093,.065485768,.038368735,.10534027,.0080193775,.048530046,.0054034609,.043771319,.16229528,.50308383,.89496469,.96809065,.021311861,.080815688,-.0047474261,.039564587,.1103997,.248707,.72502112,.86753798,-.0082535809,.056587767,-.0050789034,.030208899,-.0087593161,.062801354,.91431051,1.0065174
.039159615,.023858313,.054018725,.023342334,.041042682,.078010768,.027938833,.023236621,.33977228,.92740661,.052643497,.019949876,.18007186,.79282707,.027101059,.014145058,.030077297,.95577765,9,.016095122,.050181873,.0032973746,.037285049,.015208544,.090883598,.0016168418,.03556677,.015563857,.052354276,.040784501,.11626653,.0033665141,.042247221,.0024791392,.037904948,.19416028,.52439249,.88260376,.9615829,.023867112,.082082585,.0025645064,.049901322,.1121289,.25849596,.72171342,.86598736,.0046904017,.073109575,.0014448604,.036968656,.0080476068,.095552906,.87912154,.98428595,.022632632,.055686597,.0076805516,.040036071,.014109867,.093927577,.0059852134,.040699452,.022553027,.059532337,.041312661,.11470888,.0079053706,.047972295,.0045297355,.041943509,.16714118,.51240337,.88829744,.96651578,.021809207,.083477788,-.0052207462,.045120496,.11013129,.25001243,.71999127,.86566287,-.0092736874,.063475803,-.005775033,.03406515,-.0097634653,.069918059,.90389144,1.0076638
.034781452,.021789543,.057790279,.02132545,.03683931,.083181761,.026975017,.021540321,.34469196,.92360079,.05398608,.022413142,.18043809,.78989106,.029670851,.015653551,.033129755,.9512167,10,.013389452,.045043416,.0022233622,.034737274,.01560921,.096931331,.0011275033,.035309002,.013607241,.048863262,.041789353,.12575093,.0040326724,.040831883,.0011043015,.034366731,.19456381,.53000385,.87636197,.95972741,.02412557,.083654121,.0027384951,.054907452,.11188413,.26135057,.71964675,.86483479,.004792511,.078889236,.0016768589,.04132095,.0091344258,.10418843,.86546052,.9827221,.018836828,.050726075,.006213509,.037365578,.015557791,.10002276,.0045948783,.03805602,.018589046,.055089578,.043531764,.12283175,.0073521072,.046597928,.0032338698,.039846774,.17067783,.51870608,.88198298,.9652186,.022108957,.085863203,-.0055993209,.050425604,.10976917,.25110701,.71559721,.86418492,-.01011421,.069455914,-.0065424717,.037849572,-.010793826,.077053338,.89354837,1.008885
.029243097,.019049902,.06121739,.019583769,.031906642,.087901741,.025763322,.020122554,.34884942,.92022496,.055085715,.024689322,.18076888,.78739643,.031834699,.017125124,.036077943,.94679695,11,.0091122873,.039387099,.00026713393,.030600466,.015185079,.10195658,-.000085315638,.033182666,.0087287556,.043910261,.042148061,.13349625,.0026970417,.038854361,-.0010975646,.033109888,.19308692,.53483307,.8707546,.95833349,.024574369,.08500845,.0027551095,.059279945,.11192092,.26390669,.71746588,.86373007,.004788965,.082584441,.0017319351,.046413161,.01025562,.11199426,.85363805,.98030525,.014091187,.044395007,.0041172476,.033982556,.016842943,.10559183,.0032860273,.035881512,.014252552,.049560729,.045426123,.13037737,.0060266582,.045499988,.0019328734,.038312234,.17380357,.52389526,.8763718,.96407813,.022316759,.087854668,-.0058873454,.055265989,.10950793,.25202984,.71182972,.86296314,-.010802975,.074472375,-.0073350547,.041585304,-.011804838,.083960719,.88348252,1.0101115
.026001956,.016650559,.064366288,.017365949,.028175605,.091824479,.024577459,.019035138,.35149464,.91722018,.056020953,.026758857,.18098579,.78529531,.03371888,.018549843,.038915902,.94253427,12,.007764285,.035888437,-.00054534443,.027422067,.014585894,.10681048,-.00043942206,.030271892,.0072244285,.040391151,.042480066,.13976498,.0016339824,.037490644,-.003221459,.031240169,.19085774,.53687453,.8656733,.95744741,.025034232,.087051392,.0027777369,.064058453,.11178893,.26586789,.71572763,.86270177,.0047884877,.086315349,.0017403816,.052305289,.011329119,.12061173,.84193695,.97783911,.011941515,.040062398,.0027845071,.030516613,.018062269,.11067031,.002120679,.032611221,.011597558,.044753652,.046761911,.13688704,.0051716571,.043983258,.0011676407,.036902636,.17598435,.5270049,.87128055,.9631598,.022496318,.089545585,-.0062023061,.059720021,.10921209,.25275949,.70858043,.86201018,-.011433195,.078870952,-.0081336033,.045233287,-.012776627,.090608433,.87375891,1.0113096
.02214683,.014849648,.067031935,.016266363,.024709726,.095235907,.023838989,.018341878,.35244158,.91463453,.056731768,.028633717,.18108146,.78351295,.035405584,.019937679,.041604485,.93845785,13,.0062682363,.031647388,6.8390909e-07,.024543744,.014028721,.11092849,.000070576716,.0285937,.0054957885,.036286905,.042779259,.14520255,-.00077629305,.036720999,-.0040709311,.03055387,.18761547,.53292942,.8613075,.95671475,.02541966,.087986812,.0028166824,.067401752,.11153237,.26691458,.71481097,.86194372,.0047722338,.091210149,.0017600195,.05806341,.011735188,.12894529,.83096004,.97676444,.0094159553,.034877706,.0021573335,.027541962,.019074582,.11498929,.0020849807,.030447746,.0093506221,.040068828,.047802128,.14266968,.0046515614,.043026417,.00082582905,.035857927,.17734945,.52753371,.86682236,.96244669,.022571798,.090891734,-.0064569055,.063724339,.10891367,.25324926,.70578033,.86124557,-.011925681,.08273685,-.0089250738,.048800431,-.013705003,.096913971,.86444789,1.0124677
.019333586,.013388735,.069224186,.015088406,.021907324,.098055929,.022952877,.017362831,.35163879,.91224223,.057361532,.030396249,.18113002,.78188914,.036980804,.021277292,.04416487,.93455786,14,.0051349108,.02878603,4.5803608e-07,.02202747,.013649821,.11371198,-.0001051282,.02686128,.0042085117,.032849617,.042777419,.1495741,-.0022294249,.034786075,-.0057078367,.028789442,.18334781,.5250597,.85780013,.9561066,.025624301,.088632777,.0028474373,.070121214,.11175709,.26727399,.71329248,.86133647,.0047506941,.095445,.0019195849,.063118763,.012108266,.13662168,.82062113,.97679132,.0076692989,.030997874,.0017151783,.025062293,.019903168,.1185452,.0019300486,.028246764,.0076723304,.036142319,.048543736,.14756811,.0040865731,.041819181,.00026172886,.034463935,.17766805,.52560955,.86268747,.961797,.022623722,.092099346,-.0066580409,.067450538,.10863272,.25362733,.70323378,.8605445,-.012293743,.086255349,-.0097079501,.052262533,-.014592692,.10292243,.8555268,1.0135889
