D01,D02,D03,D04,D05,D06,D07,D08,D09,FEVD01,FEVD04,FEVD07,FEVD02,FEVD05,FEVD08,FEVD03,FEVD06,FEVD09,step,pD01_ll,pD01_ul,pD02_ll,pD02_ul,pD03_ll,pD03_ul,pD04_ll,pD04_ul,pD05_ll,pD05_ul,pD06_ll,pD06_ul,pD07_ll,pD07_ul,pD08_ll,pD08_ul,pD09_ll,pD09_ul,pFEVD01_ll,pFEVD01_ul,pFEVD04_ll,pFEVD04_ul,pFEVD07_ll,pFEVD07_ul,pFEVD02_ll,pFEVD02_ul,pFEVD05_ll,pFEVD05_ul,pFEVD08_ll,pFEVD08_ul,pFEVD03_ll,pFEVD03_ul,pFEVD06_ll,pFEVD06_ul,pFEVD09_ll,pFEVD09_ul,nD01_ll,nD01_ul,nD02_ll,nD02_ul,nD03_ll,nD03_ul,nD04_ll,nD04_ul,nD05_ll,nD05_ul,nD06_ll,nD06_ul,nD07_ll,nD07_ul,nD08_ll,nD08_ul,nD09_ll,nD09_ul,nFEVD01_ll,nFEVD01_ul,nFEVD04_ll,nFEVD04_ul,nFEVD07_ll,nFEVD07_ul,nFEVD02_ll,nFEVD02_ul,nFEVD05_ll,nFEVD05_ul,nFEVD08_ll,nFEVD08_ul,nFEVD03_ll,nFEVD03_ul,nFEVD06_ll,nFEVD06_ul,nFEVD09_ll,nFEVD09_ul
.43265611,.10573299,.0055239042,0,.2761299,.006741791,0,0,.1169726,0,0,0,0,0,0,0,0,0,0,.40135357,.45262054,.077698052,.12363681,.00018872018,.015591608,0,0,.24909641,.29797161,.00081294507,.0168816,0,0,0,0,.07256569,.18554437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.40854043,.45677182,.084140718,.12732525,-.0027714646,.013819274,0,0,.25179985,.30045992,-.00085616513,.014339747,0,0,0,0,.054142408,.17980279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.12812589,.078747958,.01019811,.076822571,.11598051,.016807785,.019890688,.019649969,.16457918,1,0,0,.12787172,.87212825,0,.0022177852,.0033035267,.9944787,1,.10525256,.14353436,.058978666,.093344793,.0010619329,.026104584,.05826813,.096521601,.095031932,.13201314,.0071463278,.029060254,.00015386092,.045451768,-.000048302521,.037601501,.1012487,.25910991,1,1,0,0,0,0,.078340977,.177385,.82261503,.92165899,0,0,.000052082185,.0091549773,.000087075605,.014317949,.98137641,.99937028,.10809679,.14815497,.061278667,.09621726,-.0028696398,.023265861,.05724369,.096401453,.096728854,.13523217,.0052466746,.028368894,-.00017931711,.039960694,.0031698404,.036130097,.075858638,.25329974,1,1,0,0,0,0,.080863595,.17487985,.82512009,.9191364,0,0,-.0028949452,.0073305154,-.0039317696,.010538823,.98533207,1.0036254
.08041878,.056869432,.017640553,.059814908,.083054043,.029329473,.027061915,.030365918,.21785741,.96999907,.028116101,.0018848511,.16173211,.83467495,.0035929615,.0032624428,.0079539791,.9887836,2,.05723682,.09715727,.038663208,.072756514,.0035182105,.041676052,.038272098,.079204112,.060764559,.10048991,.015233509,.047042489,.003225523,.049993895,.009839084,.057060324,.13333279,.34102792,.95453167,.98119926,.016087718,.043350503,.00001766453,.0097965421,.10972962,.21117109,.78611863,.88590842,.00017354474,.01217374,.0001641454,.012314903,.001357949,.024934322,.96874136,.99558491,.061089832,.099747732,.039256345,.074482515,-.00037043192,.035651539,.040048718,.079581097,.063337781,.1027703,.013039463,.045619484,.0040631588,.050060671,.0076865852,.05304525,.10045592,.3352589,.95599133,.98400682,.014193635,.042038567,-.0025149689,.0062846709,.11090356,.21256065,.78350455,.88584536,-.002442668,.0096285911,-.0032781679,.009803053,-.0035108854,.019418843,.97530681,1.0022603
.05238663,.032205027,.020121276,.034886226,.04823526,.039043304,.030532481,.030464921,.22880557,.95193309,.042955566,.0051113614,.1739352,.81502694,.011037866,.0049597281,.013221793,.9818185,3,.024308298,.067451701,.013264252,.046687141,.002838562,.04790318,.015362692,.053911172,.027716581,.062708214,.02197052,.059575506,.0087296851,.058421567,.0078310538,.056567851,.13743284,.34999263,.92700577,.96702838,.027333632,.064609647,.00030377309,.018453566,.1211856,.22310762,.7569043,.86871409,.0011928255,.035216607,.0002089363,.01636555,.0029386859,.035517387,.95295477,.9919287,.032291111,.072482154,.015017098,.049392957,.00024220896,.040000346,.0155961,.054176357,.030361274,.066109248,.019731849,.058354758,.0065674349,.054497529,.0077411062,.053188737,.10585079,.35176036,.93207431,.97179186,.024555478,.061355654,-.0040207319,.014243455,.12104758,.22682284,.75997883,.87007505,-.0059311683,.0280069,-.0034207858,.013340242,-.0037846111,.030228198,.96206439,1.0015726
.037725709,.029789716,.026135892,.030629426,.046857696,.048798867,.032628525,.029199541,.24820599,.94344789,.047418982,.0091331527,.17630181,.80548888,.018209288,.0059007583,.018818099,.97528112,4,.011936676,.054594889,.0097798612,.047038794,.0060314406,.05715964,.0049699154,.052857481,.023087135,.064080507,.027976945,.074646741,.0084087402,.05638016,.0045404481,.050865453,.14892957,.38034862,.91391277,.96108675,.030836154,.072672606,.0010161658,.030908929,.1216426,.22635314,.73876554,.86019516,.0023725436,.057396818,.00019681023,.019358249,.0048769685,.048000269,.93601763,.98959219,.01593088,.059520543,.011779661,.04779977,.0033790048,.048892781,.006602555,.054656297,.025657624,.068057768,.026209347,.071388394,.0093486318,.055908419,.0075765336,.050822545,.11469097,.38172102,.91907066,.96782511,.026946349,.067891613,-.0055640577,.023830364,.12249582,.23010778,.74666142,.86431634,-.0084473342,.04486591,-.0039084461,.015709963,-.0042724716,.04190867,.94875544,1.0018067
.028825235,.030680465,.029609045,.035338309,.03994929,.056326188,.023751697,.020401523,.26599044,.93554825,.050806306,.013645475,.17782894,.79780036,.024370713,.0073445095,.024394052,.96826142,5,.0043013273,.046972975,.010225063,.047303271,.0068477858,.060675673,.012267075,.057334252,.01489304,.058807403,.033754542,.083831251,.0032074016,.04116416,.0022650012,.035125583,.15907121,.40519342,.90044165,.95655227,.031009959,.080252156,.002277137,.042835664,.12410825,.22716182,.72128892,.85173458,.0046812338,.072513707,.00031285957,.02276686,.0065687895,.059915211,.92204106,.9866097,.0078344587,.049816012,.01273616,.048624769,.0042756135,.054942474,.012804125,.057872497,.018693844,.061204739,.030878993,.081773378,.0053544743,.042148918,.0038815902,.036921453,.12287777,.4091031,.90662944,.96446705,.027880495,.073732115,-.0063703493,.033661298,.12372098,.2319369,.7356922,.85990852,-.0096992794,.058440704,-.0043746005,.01906362,-.0049600224,.053748127,.93427593,1.0022469
.020361384,.014962021,.034997713,.021320783,.026449595,.06191786,.024299927,.022275727,.28600129,.9284575,.055617414,.015925106,.18103692,.79193825,.027024845,.0084986184,.0291468,.9623546,6,-.0018460416,.032265354,-.0040676128,.029021755,.010307266,.070854619,.0023140023,.04264617,.0033132511,.043000046,.036404714,.090742171,.002548398,.040656313,.0023726209,.0374543,.17115134,.43639523,.89028662,.9522835,.032949015,.088759385,.0029923157,.048822932,.13202953,.23136967,.71039927,.84704828,.0049426313,.078264222,.00039207589,.026618373,.0082078585,.068947062,.90892583,.98369789,.0015939013,.03912887,-.0018330304,.031757072,.0069466522,.063048773,.0012129465,.041428618,.0065503661,.046348821,.033950284,.089885436,.0063463734,.042253483,.0050129537,.039538499,.13161801,.44038457,.8960368,.96087819,.030004768,.081230059,-.0062794667,.038129676,.12641385,.23565999,.72811723,.85575926,-.0098513197,.063901007,-.0049365847,.021933822,-.0053547556,.063648358,.92203498,1.0026742
.01302336,.011186468,.038359463,.016632581,.018420303,.06682618,.022030633,.020902295,.3014181,.92442226,.057219241,.018358517,.18078412,.78869927,.0305166,.0098123178,.032661948,.95752573,7,-.0040225713,.025383493,-.0057840631,.023680829,.011026192,.076725826,-.0034224638,.032594368,-.0025936458,.033625439,.037836283,.097833142,.0033190541,.036393836,.0030021311,.035806805,.17939977,.46120316,.88275236,.95088887,.034107983,.090516508,.0036319778,.052190933,.131761,.23221773,.70300543,.84611291,.0061329012,.084224969,.00088295719,.030138044,.0096467389,.077599227,.89829332,.98204905,-.0022118797,.028258599,-.003552418,.025925355,.0075822286,.069136694,-.00098146719,.034246631,.00061536592,.036225241,.036380019,.097272336,.0055228267,.038538441,.0046591363,.037145454,.13838585,.46445036,.88942266,.95942187,.030266767,.084171712,-.0063059828,.043023016,.12599756,.23557068,.7229147,.85448384,-.010336991,.071370192,-.0054824953,.02510713,-.0059641427,.071288042,.911663,1.0033885
.0090264576,.0081689004,.041430276,.012434304,.013396325,.07083407,.023002312,.022189416,.31130123,.92146724,.058173522,.020359254,.18049771,.78588468,.03361759,.010928851,.035453498,.95361763,8,-.0046630595,.020608654,-.0064350124,.019493047,.011619315,.081061617,-.0048441729,.027466327,-.0045373645,.027282927,.038820315,.10368292,.0059059244,.036530074,.005362967,.036322046,.18262196,.47825432,.87837797,.95049584,.035035532,.092299402,.0039459276,.055870123,.13163596,.23254676,.69816387,.84530699,.006597627,.091701515,.0011534292,.034588762,.010127243,.084170125,.88719422,.98165959,-.0041111899,.022164105,-.0049391882,.021276988,.0081620086,.074698545,-.0032546439,.028123252,-.0024950407,.029287688,.037915204,.10375293,.0075833951,.038421229,.006560964,.037817869,.14255188,.48005056,.88444132,.95849317,.030306051,.086040996,-.0063688504,.047087356,.12563945,.23535596,.71842301,.85334635,-.010781675,.078016855,-.0061547048,.028012406,-.0066583198,.07756532,.90288091,1.0043544
.0073716072,.0070890463,.043632884,.010634889,.01137748,.074510574,.021636076,.020415606,.31779712,.91881126,.058642417,.022546317,.17999622,.78286451,.03713927,.011951395,.03780587,.95024276,9,-.0043200208,.017217819,-.0039763171,.016814448,.012029402,.085217878,-.0039691338,.023353551,-.0033827201,.022381216,.03999725,.11177956,.0056595099,.034774248,.0041840421,.03325256,.183525,.48793542,.87254179,.95003092,.03530078,.093087986,.0043588262,.060108684,.13116014,.23198281,.69298345,.84413671,.0068207039,.10144871,.0013791311,.037156306,.010444559,.090718836,.87963247,.9822678,-.0033985581,.018141773,-.0035834443,.017761536,.0082099028,.079055868,-.0024718614,.023741638,-.001740346,.024495307,.039443895,.10957725,.0069147302,.036357421,.0057574431,.035073768,.14534432,.49024996,.8797273,.95789522,.030155346,.087129489,-.0064618117,.051554445,.12509716,.23489529,.71348071,.85224831,-.011126514,.085405052,-.0069124443,.030815234,-.0075185243,.083130263,.89491493,1.0055707
