D01,D02,D03,D04,D05,D06,D07,D08,D09,FEVD01,FEVD04,FEVD07,FEVD02,FEVD05,FEVD08,FEVD03,FEVD06,FEVD09,step,pD01_ll,pD01_ul,pD02_ll,pD02_ul,pD03_ll,pD03_ul,pD04_ll,pD04_ul,pD05_ll,pD05_ul,pD06_ll,pD06_ul,pD07_ll,pD07_ul,pD08_ll,pD08_ul,pD09_ll,pD09_ul,pFEVD01_ll,pFEVD01_ul,pFEVD04_ll,pFEVD04_ul,pFEVD07_ll,pFEVD07_ul,pFEVD02_ll,pFEVD02_ul,pFEVD05_ll,pFEVD05_ul,pFEVD08_ll,pFEVD08_ul,pFEVD03_ll,pFEVD03_ul,pFEVD06_ll,pFEVD06_ul,pFEVD09_ll,pFEVD09_ul,nD01_ll,nD01_ul,nD02_ll,nD02_ul,nD03_ll,nD03_ul,nD04_ll,nD04_ul,nD05_ll,nD05_ul,nD06_ll,nD06_ul,nD07_ll,nD07_ul,nD08_ll,nD08_ul,nD09_ll,nD09_ul,nFEVD01_ll,nFEVD01_ul,nFEVD04_ll,nFEVD04_ul,nFEVD07_ll,nFEVD07_ul,nFEVD02_ll,nFEVD02_ul,nFEVD05_ll,nFEVD05_ul,nFEVD08_ll,nFEVD08_ul,nFEVD03_ll,nFEVD03_ul,nFEVD06_ll,nFEVD06_ul,nFEVD09_ll,nFEVD09_ul
.44376957,.10784891,.0053199469,0,.28287792,.0058512222,0,0,.11709195,0,0,0,0,0,0,0,0,0,0,.41681194,.46260151,.084822945,.12627199,.000021730681,.019083228,0,0,.2584886,.3092519,-1.3999233e-06,.012980701,0,0,0,0,.071793005,.19768171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.41952193,.46801719,.085338414,.1303594,-.003207043,.013846937,0,0,.25890899,.30684683,-.00034064095,.012043086,0,0,0,0,.05284052,.18134338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.1539443,.085032798,.0098689739,.076815017,.13168694,.014989897,.018809473,.016826874,.16495843,1,0,0,.12690912,.87309086,0,.0020548687,.0024857798,.99545938,1,.13033307,.16976991,.068080723,.10065849,.0017743574,.030446978,.054867569,.095706336,.10863213,.15434849,.0062950924,.026799846,-.0023643128,.036954358,.00034519931,.029908668,.099790059,.27700168,1,1,0,0,0,0,.0836429,.17643467,.82356536,.9163571,0,0,.000025453464,.010146487,.000063075626,.010262724,.98522025,.99955463,.13433863,.17354997,.067584388,.10248121,-.0028701562,.022608103,.056371514,.097258516,.10938812,.15398575,.0055944677,.024385326,.00074133469,.03687761,.0016669882,.031986762,.074855909,.25506097,1,1,0,0,0,0,.079221115,.17459713,.82540286,.92077887,0,0,-.0029008535,.0070105912,-.0028861156,.0078576757,.98803866,1.0028801
.11247108,.066690356,.017208412,.062657073,.10376701,.026532821,.024850151,.026148049,.21857193,.97243381,.026006816,.0015593665,.16189626,.83567345,.0024302828,.0030430723,.0062686061,.99068832,2,.085408144,.13246909,.048396822,.08694075,.0030811396,.042384125,.038874224,.086944483,.080022424,.12584306,.015014489,.041683525,.0056952126,.047498539,.0061449185,.045293137,.13210246,.36495405,.95784563,.98430955,.014076165,.041104659,.000020108364,.0060723596,.11589928,.21257399,.78616583,.88066733,.00002998759,.0084280409,.000207579,.011396529,.0011710214,.018037014,.97465503,.99747968,.090286531,.13465564,.047608331,.085772373,-.00031740489,.03473423,.039911382,.085402764,.081305966,.12622806,.013313831,.039751813,.0027201143,.046980184,.0060962127,.046199884,.099297754,.3378461,.9587338,.98613381,.012828059,.039185572,-.0015796206,.0046983534,.11034779,.21344472,.78439707,.88694984,-.0020724847,.0069330502,-.0025805582,.0086667025,-.0030989316,.015636144,.97981757,1.001559
.08941365,.044613142,.019631738,.039897546,.07295844,.035493467,.028476691,.025845412,.22977075,.9557609,.040259521,.0039795763,.17604695,.81665075,.0073023019,.0046828017,.010689628,.98462754,3,.065621436,.10544795,.023795787,.058376126,.002202688,.04369241,.012302829,.063555479,.044341989,.093294188,.021054612,.051437523,.0059240861,.052842617,.0070794392,.047429249,.13724521,.38057017,.93072826,.97503483,.02212245,.062044442,.00051885936,.01327518,.12490457,.22430685,.766343,.86568111,.00074152509,.022599895,.00031558311,.013434121,.0032649715,.028615225,.96024382,.99386239,.068558574,.11026873,.02641627,.062810011,-5.6486720e-06,.039269123,.014959034,.064836062,.048966683,.096950196,.020125683,.050861247,.0048561613,.05209722,.0052378676,.046452954,.10512594,.35441557,.93429428,.97722751,.020070864,.060448177,-.0028029936,.010762146,.12257285,.22952105,.76263654,.87066495,-.0035955659,.01820017,-.0023336029,.011699206,-.0032972316,.024676489,.96857202,1.0006831
.07888338,.043403819,.025608137,.035690702,.074323565,.044640791,.030069146,.024410643,.24942704,.94812655,.044869848,.0070036184,.18021585,.80813879,.011645335,.0055856132,.015379948,.97903442,4,.052782506,.096480042,.022326373,.060547702,.0059586065,.047767095,.0083169853,.057986341,.0457507,.095922276,.027497465,.063201338,.0020152475,.056479618,.0019773813,.046788428,.14868726,.40876395,.91729343,.97069198,.022857754,.070625976,.001111222,.021313231,.12738654,.22920683,.75185549,.86052144,.0013790405,.035743572,.000265084,.017556373,.0050680479,.041227028,.94795793,.99037337,.057689451,.10007732,.02453752,.062270116,.003661813,.047554459,.011261559,.060119845,.049670894,.098976232,.0263038,.062977783,.0041654664,.055972826,.0022985751,.04652271,.11385975,.38499433,.92128867,.97496444,.021379013,.068360686,-.0037523322,.017759569,.12594602,.23448569,.75273281,.86354476,-.0052838302,.0285745,-.0026769165,.013848143,-.0036345525,.034394447,.95748723,1.0005816
.073182687,.045091439,.029099701,.040471829,.069858491,.051639766,.020823689,.015662374,.26746964,.94149899,.048281699,.010219277,.18319103,.80177611,.015032838,.0069872602,.020133065,.97287965,5,.044673145,.091176227,.023240689,.061819047,.0062802928,.052726276,.014289317,.06138391,.040045287,.089014687,.029918581,.071690522,.0027645302,.039857149,-.0040710294,.031416528,.15829739,.43527627,.9055084,.96542114,.026222013,.077012807,.0021399676,.029100344,.12880749,.23334,.74039394,.8588931,.0019795024,.046434149,.00055731717,.019402776,.0065755467,.053447209,.93468833,.98710889,.049931105,.096434265,.025376299,.064806573,.0049426635,.053256739,.016345644,.064598016,.046022855,.093694128,.030896932,.072382599,.0019717417,.039675638,-.00095456454,.032279313,.1227198,.41221949,.9102506,.97274739,.022563608,.073999792,-.0047749272,.025213482,.12826057,.23812149,.74437457,.85917765,-.0072315489,.037297226,-.0028613112,.016835831,-.0041005979,.044366729,.9449169,1.0008423
.072796702,.033248357,.034029752,.029308457,.062898628,.056068894,.022624273,.018180743,.28760606,.93544251,.053014778,.011542696,.18783148,.79625046,.015918046,.008120642,.024195874,.96768349,6,.045662574,.083543107,.01311331,.045196004,.0075088292,.060578287,.0088175442,.046197757,.037687313,.078443483,.031771254,.076759949,.003474935,.04141508,-.00051951315,.034794115,.17031677,.46388176,.89126527,.96229774,.028960612,.082033627,.0024222624,.032866701,.12999347,.2391566,.73435545,.85622269,.0026814085,.052185521,.00071700651,.023304077,.0076131281,.06382975,.9216342,.98535132,.053956561,.091636837,.017252589,.049244124,.0077726995,.060286801,.010194544,.04842237,.04376125,.082036011,.033429574,.078708217,.0037574158,.041491129,.00088415883,.035477325,.1322111,.44300106,.90128583,.96959919,.024861781,.081167772,-.0052732616,.028358653,.13183668,.24382627,.73743218,.85506874,-.0077587818,.039594874,-.003244621,.019485906,-.004752812,.053144559,.93375814,1.0016088
.053297877,.030925656,.037129261,.031885061,.05090218,.060433619,.021958109,.018027298,.30301043,.93204784,.05483938,.013112758,.18840697,.79415452,.017438512,.0093357936,.026990885,.96367329,7,.030632928,.063440807,.011972401,.04301234,.0076132943,.067024812,.012348033,.049075209,.027566943,.065543093,.032764949,.082684442,.0041733277,.036869846,-.0012353207,.032646138,.17781684,.48962277,.88479245,.9603318,.030275097,.084489986,.002690617,.038607568,.13019226,.2414726,.73056203,.85344291,.0033564109,.05921457,.00099110696,.026517743,.0087261209,.069950528,.91141927,.98463917,.036865547,.069730207,.015823688,.046027623,.008574171,.065684356,.014145134,.049624987,.032840043,.068964317,.03581246,.085054778,.0042321868,.039684031,.001175698,.034878898,.13953646,.46648443,.89598584,.96810985,.025788521,.083890237,-.0056849257,.031910442,.13192686,.24488708,.73399204,.85431701,-.0085154353,.043392461,-.0035534014,.022224989,-.0054427292,.059424497,.9248538,1.0024928
.044162311,.026792763,.040100168,.028104905,.04333422,.064155802,.024553085,.020502046,.31272435,.92776817,.057607412,.014624442,.18978311,.79121625,.019000603,.010348916,.029207962,.96044314,8,.02240967,.053479403,.0084910113,.039376199,.0070657032,.071329169,.0080202445,.044160988,.021053964,.056724921,.034247756,.089190707,.0068586487,.042110797,.0016939333,.035531379,.18170276,.50274086,.87592089,.95952332,.031375892,.088558555,.0028431201,.044273101,.13067392,.24402136,.72724342,.85117567,.0037639805,.06380412,.00095896231,.028958675,.0094338339,.075232446,.90287036,.98344469,.028724642,.059599981,.012288594,.041296929,.0094503267,.070750013,.010673304,.045536503,.025801051,.060867388,.03759085,.09072075,.0070110234,.042095147,.003922021,.037082072,.1443937,.48105499,.88941896,.96611738,.027084924,.0881299,-.0060063037,.035255186,.13265361,.24691261,.72965455,.85277796,-.0091583747,.047159582,-.0040242476,.024722081,-.0062202141,.064636141,.91728312,1.0036031
.038028918,.023697427,.042473,.025155805,.03805818,.068031184,.024124002,.019369574,.3190268,.92372376,.059705738,.016570523,.19064982,.78818649,.02116367,.011287493,.03111825,.95759428,9,.017752398,.048600547,.0066486904,.036223292,.0065848851,.07301908,.0067284154,.040362209,.017629541,.051509976,.035761412,.093990788,.0057516675,.041991357,-.000052419084,.033888783,.1832583,.5076474,.86790419,.95832133,.031465247,.092878595,.003109724,.048473835,.13104057,.24563029,.72369266,.8498655,.0038096271,.070043243,.00088650046,.032875847,.01001888,.079581536,.89499366,.9829303,.023244735,.052813102,.0098032905,.037591562,.0099360626,.075009935,.0085797366,.041731872,.021270651,.054845709,.03948573,.096576646,.0065778685,.041670136,.0029536735,.035785474,.14730419,.49074942,.88289374,.96455377,.027824409,.091587067,-.0064232326,.039564278,.13297273,.24832691,.72507322,.85129976,-.010109147,.05243649,-.0045631072,.027138093,-.0070593311,.069295831,.91036946,1.0048192
