state,year,month,stayathomeorder,mandatoryquarantinefortravelers,nonessentialbusinessclosures,largegatheringsban,schoolclosures,restaurantlimits,facecoveringrequirement,barclosures,is_school,is_res,is_bus,is_sip
AK,2020,6,0,1,0,0,1,0,.22222222,0,,,,
AK,2020,7,0,1,0,0,.22580644,0,1,0,,,,
AK,2020,8,0,1,0,0,0,0,1,0,,,,
AK,2020,9,0,1,0,0,0,0,1,0,,,,
AK,2020,10,0,1,0,0,0,0,1,0,,,,
AK,2020,11,0,1,0,0,0,0,1,0,,,,
AK,2020,12,0,1,0,0,0,0,1,0,,,,
AK,2021,1,0,1,0,0,0,0,1,0,,,,
AK,2021,2,0,.53571427,0,0,0,0,.53571427,0,,,,
AK,2021,3,0,0,0,0,0,0,0,0,,,,
AK,2021,4,0,0,0,0,0,0,0,0,,,,
AK,2021,5,0,0,0,0,0,0,0,0,,,,
AK,2021,6,0,0,0,0,0,0,0,0,,,,
AK,2021,7,0,0,0,0,0,0,0,0,,,,
AL,2020,6,0,0,1,0,1,0,.22222222,0,,,,
AL,2020,7,0,0,1,0,.22580644,0,1,0,,,,
AL,2020,8,0,0,1,0,0,0,1,0,,,,
AL,2020,9,0,0,1,0,0,0,1,0,,,,
AL,2020,10,0,0,1,0,0,0,1,0,,,,
AL,2020,11,0,0,1,0,0,0,1,0,,,,
AL,2020,12,0,0,1,0,0,0,1,0,,,,
AL,2021,1,0,0,1,0,0,0,1,0,,,,
AL,2021,2,0,0,.53571427,0,0,0,1,0,,,,
AL,2021,3,0,0,0,0,0,0,1,0,,,,
AL,2021,4,0,0,0,0,0,0,.36666667,0,,,,
AL,2021,5,0,0,0,0,0,0,0,0,,,,
AL,2021,6,0,0,0,0,0,0,0,0,,,,
AL,2021,7,0,0,0,0,0,0,0,0,,,,
AR,2020,6,0,.4074074,0,.4074074,1,1,.22222222,1,,,,
AR,2020,7,0,0,0,0,.22580644,1,1,0,,,,
AR,2020,8,0,0,0,0,0,1,1,0,,,,
AR,2020,9,0,0,0,0,0,1,1,0,,,,
AR,2020,10,0,0,0,0,0,1,1,0,,,,
AR,2020,11,0,0,0,0,0,1,1,0,,,,
AR,2020,12,0,0,0,0,0,1,1,0,,,,
AR,2021,1,0,0,0,0,0,1,1,0,,,,
AR,2021,2,0,0,0,0,0,1,1,.4642857,,,,
AR,2021,3,0,0,0,0,0,0,1,0,,,,
AR,2021,4,0,0,0,0,0,0,.13333334,0,,,,
AR,2021,5,0,0,0,0,0,0,0,0,,,,
AR,2021,6,0,0,0,0,0,0,0,0,,,,
AR,2021,7,0,0,0,0,0,0,0,0,,,,
AZ,2020,6,0,0,1,.037037037,1,1,.22222222,1,,,,
AZ,2020,7,0,0,1,1,.22580644,1,1,1,,,,
AZ,2020,8,0,0,1,1,0,1,1,1,,,,
AZ,2020,9,0,0,1,1,0,1,1,1,,,,
AZ,2020,10,0,0,1,1,0,1,1,1,,,,
AZ,2020,11,0,0,1,1,0,1,1,1,,,,
AZ,2020,12,0,0,1,1,0,1,1,1,,,,
AZ,2021,1,0,0,1,1,0,1,1,1,,,,
AZ,2021,2,0,0,1,1,0,1,.53571427,1,,,,
AZ,2021,3,0,0,.22580644,.90322578,0,.22580644,0,.22580644,,,,
AZ,2021,4,0,0,0,0,0,0,0,0,,,,
AZ,2021,5,0,0,0,0,0,0,0,0,,,,
AZ,2021,6,0,0,0,0,0,0,0,0,,,,
AZ,2021,7,0,0,0,0,0,0,0,0,,,,
CA,2020,6,1,0,1,1,1,1,.22222222,1,,,,
CA,2020,7,1,0,1,1,.22580644,1,1,.80645162,,,,
CA,2020,8,1,0,1,1,0,1,1,1,,,,
CA,2020,9,1,0,1,1,0,1,1,1,,,,
CA,2020,10,1,0,1,1,0,1,1,1,,,,
CA,2020,11,1,0,1,1,0,1,1,1,,,,
CA,2020,12,1,0,1,1,0,1,1,1,,,,
