D01,D02,D03,D04,FEVD01,FEVD03,FEVD02,FEVD04,step,pD01_ll,pD01_ul,pD02_ll,pD02_ul,pD03_ll,pD03_ul,pD04_ll,pD04_ul,pFEVD01_ll,pFEVD01_ul,pFEVD03_ll,pFEVD03_ul,pFEVD02_ll,pFEVD02_ul,pFEVD04_ll,pFEVD04_ul,nD01_ll,nD01_ul,nD02_ll,nD02_ul,nD03_ll,nD03_ul,nD04_ll,nD04_ul,nFEVD01_ll,nFEVD01_ul,nFEVD03_ll,nFEVD03_ul,nFEVD02_ll,nFEVD02_ul,nFEVD04_ll,nFEVD04_ul
.45118454,-.017595747,0,.67903292,0,0,0,0,0,.41893667,.47159877,-.057874195,.023253145,0,0,.58401918,.78612947,0,0,0,0,0,0,0,0,.42425835,.47811073,-.056868847,.021677354,0,0,.58042043,.77764535,0,0,0,0,0,0,0,0
.17442417,-.0055020251,.00072453299,.70838714,1,0,.00067103049,.99932897,1,.14635548,.19353288,-.05450391,.056604248,-.021042772,.019770149,.5986464,.82824063,1,1,0,0,1.3367267e-06,.0066274712,.99337256,.99999869,.15112618,.19772215,-.060714051,.049710002,-.020297628,.021746695,.59282041,.82395387,1,1,0,0,-.0029611816,.0043032425,.99569678,1.0029612
.12376902,.00074842578,.0064125042,.64217567,.99999774,2.2434463e-06,.00035285426,.99964714,2,.092436008,.1426408,-.050530169,.067527339,-.017076399,.029316548,.52389884,.76571596,.99787349,.99999779,2.1905353e-06,.0021265354,.000035317971,.0056709484,.99432909,.99996471,.1000508,.14748725,-.058489282,.059986133,-.017813329,.030638337,.52342612,.76092517,.99866295,1.0013325,-.0013325267,.0013370136,-.0027260843,.0034317928,.9965682,1.0027261
.10294341,.0025836525,.0013469772,.61706442,.99983299,.00016701374,.00024748169,.99975252,3,.073608562,.11996613,-.052323632,.073530793,-.022151448,.026904661,.48437595,.76258117,.99511492,.99995399,.000045971308,.0048850477,.000097250391,.0060130786,.99398696,.99990273,.079930753,.12595607,-.062503844,.06767115,-.024025844,.026719797,.48726177,.74686712,.9972676,1.0023984,-.0023983633,.0027323908,-.003028515,.0035234785,.99647653,1.0030285
.091689914,-.059959013,.0051273121,.55318362,.99983281,.00016718355,.00019763003,.99980235,4,.061036587,.11036256,-.12462715,.0084223058,-.022188403,.029987589,.40968186,.68243313,.99302554,.9999404,.000059614413,.0069744531,.00012495604,.0075028767,.99249709,.99987507,.067523837,.11585599,-.12920052,.0092824837,-.019762948,.030017573,.42125693,.68511039,.99600589,1.0036597,-.0036597222,.0039940896,-.00375267,.0041479301,.99585205,1.0037527
.085878737,-.081978478,-.015015068,.54310882,.99974012,.00025988431,.0019081226,.99809188,5,.050382372,.10198896,-.15171355,-.0058479086,-.040475264,.012173884,.38303679,.67563051,.99105889,.99983346,.00016650582,.0089411195,.00083822943,.011279642,.98872036,.99916178,.061689697,.11006778,-.15604733,-.0079096258,-.0403677,.010337563,.40498483,.68123281,.99503684,1.0044434,-.0044434159,.0049631847,-.0037550218,.007571267,.99242872,1.003755
.084779575,-.097264066,-.0083328364,.51976669,.99893039,.0010696282,.0045033917,.99549663,6,.051791675,.095911473,-.167184,-.023615062,-.022782082,.0099143963,.36163241,.63087082,.99004638,.99933559,.00066441309,.0099536236,.0012923044,.020102141,.97989786,.99870771,.063721284,.10583787,-.17157118,-.022956954,-.024906166,.0082404921,.38609919,.65343416,.99369103,1.0041697,-.004169717,.0063089733,-.0051556961,.01416248,.98583752,1.0051557
.068176456,-.10799975,-.0047614588,.48821378,.9987126,.0012873709,.0076012732,.99239874,7,.039842986,.075810224,-.18354073,-.027310697,-.018937934,.013370663,.3395668,.57398474,.98897326,.99914497,.00085501303,.011026738,.0020778696,.029161515,.97083849,.99792212,.049953088,.086399823,-.18657614,-.029423358,-.019930409,.010407493,.36232117,.61410636,.99305183,1.0043734,-.0043734116,.0069481535,-.0066267145,.021829261,.97817075,1.0066267
.057192706,-.11245209,-.0051678382,.46229824,.99865478,.0013452307,.010971097,.98902893,8,.031255096,.064060107,-.19018486,-.024211772,-.019503057,.012571029,.31454736,.54021585,.98801416,.99909329,.00090669224,.01198585,.0023424001,.036837623,.96316236,.9976576,.040787894,.073597521,-.19376004,-.031144155,-.020868007,.01053233,.33875778,.58583868,.99273813,1.0045714,-.0045714425,.007261904,-.0080102868,.029952481,.97004753,1.0080103
.051080551,-.11988427,-.0041140015,.43720594,.99857831,.0014217061,.014224293,.98577571,9,.025984485,.058465704,-.20264089,-.029300883,-.019525509,.014173171,.28482038,.50886846,.98689115,.99908876,.00091118872,.013108884,.0023099002,.04424483,.95575517,.99769008,.035209272,.066951834,-.20351587,-.036252666,-.02003552,.011807516,.3155793,.55883259,.99232459,1.004832,-.0048319916,.0076754037,-.0093923779,.037840962,.96215904,1.0093924
.044541843,-.12604736,-.0050634714,.41451085,.99853343,.0014665996,.01766319,.98233682,10,.020858731,.051457416,-.20656294,-.035818398,-.020006534,.012864225,.25978774,.47637171,.98620087,.99902904,.00097098236,.013799114,.0028303578,.053258434,.94674158,.99716961,.029322846,.059760839,-.21037212,-.041722603,-.020792235,.010665293,.29229546,.53672624,.99193448,1.0051323,-.0051323441,.0080655431,-.010711827,.046038207,.95396179,1.0107118
.03915057,-.12911285,-.0054175244,.39302182,.99845672,.0015432999,.021238025,.97876197,11,.016863061,.04557611,-.20745164,-.037336197,-.019537177,.012026155,.23586816,.4532482,.98528993,.9989965,.0010035451,.01471003,.0033446166,.064229533,.93577045,.99665534,.024875917,.053425226,-.21378428,-.044441421,-.021090467,.010255419,.27064309,.51540053,.9914518,1.0054617,-.0054616407,.0085482402,-.011800393,.054276444,.94572353,1.0118004
.034468155,-.13069808,-.0048406087,.37205249,.99836612,.0016338783,.024772545,.97522748,12,.01401941,.040782314,-.21010941,-.037321344,-.018899769,.012840039,.20984589,.43816164,.98430324,.99896014,.0010398719,.015696749,.0036995211,.07311897,.92688102,.99630046,.020988896,.047947414,-.21514036,-.046255805,-.020589055,.010907838,.24973635,.49436861,.99093455,1.0057976,-.0057976698,.009065426,-.012712239,.062257331,.93774271,1.0127122
.029876797,-.13089372,-.0045849355,.35219121,.99829429,.0017057158,.028214591,.97178543,13,.011468808,.035836216,-.21085966,-.036391526,-.018360175,.012979982,.18513571,.42027909,.98310232,.9989419,.0010580849,.016897703,.0040649939,.08164601,.91835397,.99593496,.017516393,.0422372,-.21437863,-.047408815,-.020165302,.010995431,.22943027,.47495213,.99042118,1.0061674,-.0061673988,.0095788306,-.013460076,.069889255,.93011075,1.01346
.026151706,-.13019268,-.0043931236,.33353496,.99822932,.0017706943,.031514697,.9684853,14,.0093039367,.031827249,-.20912397,-.036128163,-.01773501,.013105869,.16343552,.40279186,.98166668,.99892366,.0010763165,.018333295,.0043888064,.089559495,.9104405,.99561119,.014791464,.037511948,-.21243915,-.047946215,-.019740332,.010954086,.21037991,.45668998,.98989755,1.0065612,-.0065610921,.010102481,-.014042652,.077072047,.92292798,1.0140426
.022990331,-.12886831,-.0042312075,.31597182,.99816918,.001830828,.034653597,.9653464,15,.0072611356,.028278347,-.20590538,-.035884477,-.017159469,.013054646,.14401312,.38137671,.98040843,.99890471,.0010952667,.019591572,.0047198404,.097339943,.90266007,.99528015,.012439917,.033540744,-.20964161,-.048095025,-.019199478,.010737063,.19263162,.43931201,.98937887,1.0069596,-.0069594989,.010621155,-.014488427,.083795622,.91620439,1.0144885
