D01,D02,D03,D04,FEVD01,FEVD03,FEVD02,FEVD04,step,pD01_ll,pD01_ul,pD02_ll,pD02_ul,pD03_ll,pD03_ul,pD04_ll,pD04_ul,pFEVD01_ll,pFEVD01_ul,pFEVD03_ll,pFEVD03_ul,pFEVD02_ll,pFEVD02_ul,pFEVD04_ll,pFEVD04_ul,nD01_ll,nD01_ul,nD02_ll,nD02_ul,nD03_ll,nD03_ul,nD04_ll,nD04_ul,nFEVD01_ll,nFEVD01_ul,nFEVD03_ll,nFEVD03_ul,nFEVD02_ll,nFEVD02_ul,nFEVD04_ll,nFEVD04_ul
.45028847,.018894192,0,.38329387,0,0,0,0,0,.42021689,.4727847,.0016458323,.040561177,0,0,.34309083,.42772096,0,0,0,0,0,0,0,0,.4245092,.47606775,.00015904065,.037629344,0,0,.34172145,.42486629,0,0,0,0,0,0,0,0
.17205696,.032818675,.017091991,.37758851,1,0,.002424035,.99757594,1,.14883877,.18797979,.0057686018,.059435386,-.0019464514,.031611465,.33345377,.42395484,1,1,0,0,.00007539201,.010682628,.98931742,.9999246,.15026549,.19384843,.009312666,.056324683,-.00018628658,.03437027,.33208728,.42308974,1,1,0,0,-.002757757,.0076058269,.99239415,1.0027577
.12145239,.036747541,.023419319,.37915197,.99874437,.0012556602,.00492936,.99507064,2,.091676056,.14537343,.0041042748,.068899423,.0037996322,.04397849,.32946697,.42537624,.99555546,.99998343,.000016605831,.0044445265,.00036350181,.01516573,.98483425,.99963653,.096363656,.14654112,.0070244852,.066470601,.0040378598,.04280078,.33078873,.42751521,.99621725,1.0012715,-.00127146,.0037827804,-.0025704042,.012429125,.98757088,1.0025704
.10063503,.035754994,.029540081,.37019873,.99660987,.0033901394,.0063859159,.99361408,3,.067775056,.11969138,.0014706994,.069877371,.011873182,.04802601,.3157576,.41250956,.9880752,.99938905,.00061092526,.011924793,.00033871402,.020853426,.9791466,.99966133,.075784758,.1254853,.0024915619,.069018424,.010391711,.048688453,.32101345,.41938403,.99132001,1.0018997,-.0018997089,.0086799879,-.003373645,.016145477,.98385453,1.0033736
.089471564,.042440463,.024874846,.36654431,.99338412,.0066158967,.0070737926,.99292618,4,.055686094,.11032858,.0075086271,.07505618,.0029791857,.043535862,.30723146,.41593239,.98200083,.99798119,.002018753,.017999196,.00046078186,.022202842,.97779715,.9995392,.064374194,.11456894,.0062923352,.07858859,.0035998439,.046149846,.31360438,.41948423,.98538882,1.0013794,-.001379397,.01461119,-.004177161,.018324746,.98167521,1.0041771
.082781672,.055750962,.0097686537,.38260806,.99128491,.0087151043,.0082533043,.99174672,5,.052238867,.10104081,.020600256,.093647674,-.016083833,.028428029,.3159976,.43618953,.977763,.99769521,.0023047826,.022236997,.0007168228,.025525276,.97447473,.99928319,.058464494,.10709886,.016926844,.094575085,-.011436454,.03097376,.32515755,.44005856,.98138487,1.0011849,-.00118492,.018615128,-.0048447018,.021351311,.97864872,1.0048448
.080474615,.0749548,.016865868,.3637726,.99115789,.0088421311,.010432736,.98956728,6,.053194705,.093179822,.039022043,.1148855,-.00043118012,.027680216,.29539186,.41105056,.97612405,.99769831,.0023017023,.023875957,.0012374809,.032809123,.96719086,.99876249,.06017714,.10077209,.035735413,.11417419,.0029789472,.030752787,.30657044,.42097476,.98059529,1.0017204,-.0017204499,.019404713,-.0052383062,.026103778,.97389627,1.0052383
.065698966,.083433062,.01773102,.34709424,.99035913,.0096408837,.014620338,.98537964,7,.042429268,.077481478,.043317579,.12461918,.001465815,.027092557,.27446795,.3896082,.97446197,.99761397,.0023860401,.025538035,.0024463276,.040830255,.95916975,.99755371,.048320044,.083077885,.041675497,.12519063,.0041159429,.031346098,.29000717,.40418133,.97882938,1.0018889,-.0018888582,.021170625,-.0049309428,.034171619,.96582836,1.004931
.056465283,.088975482,.017903155,.32962602,.98941571,.010584317,.019150255,.98084974,8,.034327142,.068404183,.045054533,.13333985,.00030415939,.026188947,.25329393,.36697429,.97249007,.99748063,.0025193875,.027509959,.0039729867,.050333701,.94966626,.99602699,.040217347,.072713219,.045230541,.13272043,.0042493921,.031556919,.27315626,.38609579,.97691303,1.0019183,-.00191834,.023086974,-.0047126482,.043013159,.95698684,1.0047127
.049161501,.093509354,.01650792,.31329957,.98843658,.011563438,.023727125,.97627288,9,.027245289,.060390115,.04656437,.13908574,-.00082187832,.025218748,.23334397,.34639913,.97032505,.99714303,.0028569535,.029674968,.0058264723,.062629014,.93737102,.99417353,.033710651,.064612351,.048109733,.13890897,.0027146798,.030301159,.2569764,.36962274,.9750182,1.0018549,-.0018549118,.024981787,-.0046026865,.052056935,.94794309,1.0046027
