D01,D02,D03,D04,FEVD01,FEVD03,FEVD02,FEVD04,step,pD01_ll,pD01_ul,pD02_ll,pD02_ul,pD03_ll,pD03_ul,pD04_ll,pD04_ul,pFEVD01_ll,pFEVD01_ul,pFEVD03_ll,pFEVD03_ul,pFEVD02_ll,pFEVD02_ul,pFEVD04_ll,pFEVD04_ul,nD01_ll,nD01_ul,nD02_ll,nD02_ul,nD03_ll,nD03_ul,nD04_ll,nD04_ul,nFEVD01_ll,nFEVD01_ul,nFEVD03_ll,nFEVD03_ul,nFEVD02_ll,nFEVD02_ul,nFEVD04_ll,nFEVD04_ul
.4515844,.020472225,0,.38497761,0,0,0,0,0,.42341167,.47395,.0037716697,.040983535,0,0,.34127396,.4233495,0,0,0,0,0,0,0,0,.42606002,.47710878,.0017727469,.039171703,0,0,.34237963,.42757556,0,0,0,0,0,0,0,0
.17926143,.037287984,.0185856,.38091242,1,0,.0028198939,.9971801,1,.15020594,.19498953,.013541173,.063264884,.00099998771,.037233818,.33064711,.42088771,1,1,0,0,.0001453055,.01192118,.98807883,.99985468,.15563409,.20288877,.012881702,.061694264,.00047659827,.036694605,.33630833,.42551652,1,1,0,0,-.0025877582,.0082275458,.99177247,1.0025878
.13393149,.04695994,.025647929,.38394049,.99853885,.0014611338,.0061315992,.99386841,2,.10868119,.15379308,.0216222,.075270049,.00062529574,.042230424,.33176193,.42316425,.99397635,.99996591,.000034084187,.0060236282,.00076724577,.019582067,.98041797,.99923277,.10917601,.15868697,.017839404,.076080479,.0042054816,.047090378,.33715943,.43072152,.99559939,1.0014783,-.00147832,.0044005876,-.0024732123,.014736411,.98526359,1.0024732
.12899978,.056876782,.021170821,.36952272,.9960658,.0039342158,.009027428,.99097258,3,.099252865,.14359775,.028965777,.087915808,.0060455045,.031340618,.31390798,.40289754,.98918825,.99963409,.00036591076,.010811727,.0017093146,.025877133,.97412288,.99829066,.1088805,.14911908,.026790198,.08696337,.0088852886,.033456355,.32392985,.41511559,.99075592,1.0013757,-.0013756328,.0092440648,-.0027004958,.020755352,.97924465,1.0027004
.090762071,.062869184,.021830678,.35555765,.99466562,.0053343656,.012403076,.98759693,4,.066516384,.10311832,.031989723,.095038086,.0061568231,.031095736,.29919052,.38064033,.98637664,.9994843,.00051572878,.013623378,.0033244356,.03048617,.96951377,.99667561,.073087662,.10843648,.029688219,.096050143,.0095887734,.034072582,.3105723,.40054297,.98817164,1.0011595,-.0011596072,.011828339,-.0021259855,.026932137,.97306788,1.002126
.07001172,.066588834,.021515841,.34142879,.99313402,.0068659955,.015670042,.98432994,5,.047163799,.082324281,.030510919,.10041572,.0068774875,.030594196,.27971387,.36145934,.9837516,.99935716,.00064284529,.016248401,.0043981276,.037335448,.96266454,.99560189,.053606432,.086417012,.031043569,.10213409,.0092609031,.033770777,.2969642,.38589334,.98541939,1.0008487,-.00084865978,.01458065,-.001863608,.033203691,.96679628,1.0018636
.055999666,.068828061,.020678086,.32783073,.99164504,.0083549535,.018706178,.9812938,6,.03502357,.066792995,.028898347,.10522224,.0064469343,.030225553,.25964496,.34500527,.98148799,.99908763,.00091234571,.018512033,.005351543,.044561595,.95543838,.99464846,.040754601,.071244732,.031751048,.10590507,.0083429711,.033013202,.28324604,.37241539,.98278528,1.0005047,-.00050479604,.017214702,-.0018104081,.039222766,.96077722,1.0018104
.043364141,.069782093,.020084593,.31475949,.99027205,.0097279642,.021488873,.97851115,7,.025656313,.052615456,.02762267,.10702926,.0053574825,.029577779,.24290915,.33073682,.97930455,.99876994,.0012300434,.020695407,.0058813174,.051128056,.94887197,.99411869,.030028503,.056699779,.031956237,.10760795,.007595282,.032573905,.26963606,.35988295,.98035294,1.0001911,-.0001911314,.01964706,-.001868739,.044846486,.95515352,1.0018687
.034122258,.06981568,.019438023,.30222189,.98896676,.011033267,.023994397,.97600561,8,.018940274,.042129539,.026703462,.10581625,.0042477259,.028671026,.22633818,.31837657,.97763014,.99842727,.001572723,.022369828,.006591754,.055998489,.94400156,.99340826,.022492435,.045752082,.03182501,.10780635,.0068730009,.032003045,.2562798,.34816402,.97800153,.99993199,.000068051653,.021998482,-.0019957076,.049984504,.95001549,1.0019957
.027147802,.069189921,.018757707,.29019091,.9877376,.012262383,.026228806,.97377121,9,.013943771,.034331284,.025620315,.10333423,.003565473,.02752139,.21160188,.30371892,.97592831,.99810815,.0018918525,.024071719,.007294409,.059993319,.94000673,.99270558,.017013751,.037281852,.031470109,.10690973,.0062254416,.031289972,.24329142,.33709037,.97573954,.99973565,.00026433304,.024260433,-.0021507118,.054608323,.94539171,1.0021508
