D01,D02,D03,D04,FEVD01,FEVD03,FEVD02,FEVD04,step,pD01_ll,pD01_ul,pD02_ll,pD02_ul,pD03_ll,pD03_ul,pD04_ll,pD04_ul,pFEVD01_ll,pFEVD01_ul,pFEVD03_ll,pFEVD03_ul,pFEVD02_ll,pFEVD02_ul,pFEVD04_ll,pFEVD04_ul,nD01_ll,nD01_ul,nD02_ll,nD02_ul,nD03_ll,nD03_ul,nD04_ll,nD04_ul,nFEVD01_ll,nFEVD01_ul,nFEVD03_ll,nFEVD03_ul,nFEVD02_ll,nFEVD02_ul,nFEVD04_ll,nFEVD04_ul
.38375926,.022169724,0,.44974238,0,0,0,0,0,.33550948,.42311788,-.0025520055,.041165151,0,0,.42254618,.46980798,0,0,0,0,0,0,0,0,.34002882,.4274897,.001342908,.042996537,0,0,.42546546,.47401932,0,0,0,0,0,0,0,0
.37874642,.025542399,.014188495,.17100677,1,0,.0024240352,.99757594,1,.32635581,.41264582,.0038117126,.043859564,-.002673429,.029632911,.1436435,.19063541,1,1,0,0,.000031625284,.0082914233,.99170858,.99996841,.33362326,.42386958,.0060937065,.044991095,-.0016482124,.030025203,.14826936,.19374418,1,1,0,0,-.0020021971,.0068502673,.9931497,1.0020021
.38050139,.029370565,.018035622,.12015206,.99930799,.0006919856,.0049167597,.99508321,2,.31913471,.42000219,.0065268273,.048733108,-.0068627493,.039564863,.088778973,.14091876,.99675167,.99999905,9.1380696e-07,.0032483665,.00029101272,.013447597,.98655236,.99970901,.33134785,.42965496,.0083328709,.050408259,-.0046275286,.040698774,.09432558,.14597854,.9976446,1.0009714,-.00097142108,.0023553923,-.0015999897,.011433509,.98856646,1.0015999
.37151015,.034458973,.017485084,.099058598,.99879229,.0012077141,.0080923727,.99190766,3,.31138563,.40848976,.012162732,.050651178,-.0150925,.043534312,.067539632,.11448751,.99399817,.99994648,.000053537435,.0060018506,.0013310396,.019070709,.98092926,.99866891,.32247651,.42054379,.014491536,.054426406,-.011637353,.046607524,.074749775,.12336742,.99592441,1.0016602,-.0016601686,.004075597,-.0012594683,.017444214,.98255581,1.0012594
.36818931,.029249765,.024342371,.088138357,.99855083,.0014491515,.01233406,.98766595,4,.3082549,.40254962,.0073998133,.049424075,-.012175414,.054398581,.060004704,.1054486,.99266553,.99989444,.00010556416,.007334488,.0027648285,.027084023,.97291601,.99723518,.31932005,.41705856,.0088548977,.04964463,-.0074566258,.056141365,.064212754,.11206397,.99480283,1.0022988,-.002298831,.0051971343,-.00014271311,.024810834,.97518915,1.0001427
.38488892,.01383252,.036845841,.082200326,.99799454,.0020054292,.015133915,.98486608,5,.3171753,.42199785,-.010316281,.034165699,.0027237807,.069758318,.051364299,.097829029,.9901607,.99983621,.00016379177,.0098392935,.0044281008,.033189014,.966811,.99557191,.33250982,.43726799,-.0069218357,.034586877,.0026085416,.071083136,.058295704,.10610495,.9930777,1.0029113,-.0029113963,.0069222548,.00040108009,.029866749,.97013324,.99959892
.3670218,.02080754,.056953739,.079546638,.99676454,.0032354319,.015447853,.98455215,6,.29684061,.40056241,.0037166309,.030527864,.018185496,.089759365,.051002294,.089520901,.9864763,.99966842,.00033157962,.013523696,.005044241,.034000583,.96599936,.99495578,.31457549,.41946813,.0073839691,.034231111,.021403698,.092503779,.058796484,.10029678,.98991871,1.0036104,-.0036103853,.010081249,.00015279732,.03074291,.96925706,.99984723
.35078108,.020944171,.066242866,.064746313,.99396145,.0060385684,.016615758,.98338425,7,.27678725,.38238108,.003354595,.028469626,.023827486,.10081123,.039708197,.072494127,.97969753,.99918759,.00081240817,.020302476,.0054878634,.035788715,.96421123,.99451208,.29788163,.40368056,.0081585208,.033729821,.02763865,.10484709,.046706643,.082785979,.98410606,1.0038168,-.0038168235,.01589396,.00029824072,.032933276,.96706671,.9997018
.33360693,.020661483,.072638609,.055515353,.99074602,.0092539759,.017880857,.98211914,8,.25427556,.36573809,.0023791012,.029082872,.027073031,.10862975,.032674775,.063335881,.97113407,.99856967,.0014303192,.028865922,.0058119358,.038008068,.96199191,.99418807,.28044662,.38676727,.0081044445,.033218522,.031598262,.11367895,.038720168,.072310537,.97747004,1.004022,-.0040220264,.022529978,.00060542993,.035156284,.96484369,.9993946
.31752348,.01890834,.077970803,.04828912,.9873662,.012633819,.019139051,.98086095,9,.23229849,.34684914,.00061394362,.025496608,.030594334,.11594266,.026195694,.055960678,.9634409,.99778867,.0022113065,.036559105,.0059486954,.039874174,.9601258,.99405134,.26406947,.37097752,.0064324541,.031384226,.035081651,.12085996,.032098353,.064479887,.9705258,1.0042067,-.0042065936,.029474232,.0010162195,.037261885,.9627381,.9989838
