D01,D02,D03,D04,FEVD01,FEVD03,FEVD02,FEVD04,step,pD01_ll,pD01_ul,pD02_ll,pD02_ul,pD03_ll,pD03_ul,pD04_ll,pD04_ul,pFEVD01_ll,pFEVD01_ul,pFEVD03_ll,pFEVD03_ul,pFEVD02_ll,pFEVD02_ul,pFEVD04_ll,pFEVD04_ul,nD01_ll,nD01_ul,nD02_ll,nD02_ul,nD03_ll,nD03_ul,nD04_ll,nD04_ul,nFEVD01_ll,nFEVD01_ul,nFEVD03_ll,nFEVD03_ul,nFEVD02_ll,nFEVD02_ul,nFEVD04_ll,nFEVD04_ul
.44160843,-.0060075675,0,.098430842,0,0,0,0,0,.41450939,.46291155,-.01344585,-.00033858526,0,0,.054084666,.14690298,0,0,0,0,0,0,0,0,.41787082,.46534604,-.011910752,-.00010438211,0,0,.052855376,.14400631,0,0,0,0,0,0,0,0
.13858613,-.012328483,-.030323697,.16555764,1,0,.0037112494,.99628878,1,.11649774,.15970275,-.022610353,-.0022472027,-.051685065,-.0068793455,.090570338,.24342358,1,1,0,0,.000026130669,.011563307,.9884367,.99997389,.11696264,.16020961,-.022858558,-.0017984071,-.054075856,-.0065715406,.08895009,.24216519,1,1,0,0,-.00208381,.0095063085,.99049371,1.0020838
.086202897,-.023170106,-.033141807,.22561574,.99572599,.0042740125,.0050443099,.99495572,2,.057694744,.10341515,-.037955038,-.0086472351,-.05646047,-.0062169563,.12311194,.33422768,.98732364,.9997679,.00023207456,.012676384,.00020902851,.016114283,.98388571,.99979097,.064823151,.10758264,-.038385835,-.0079543767,-.059397615,-.0068859984,.12078495,.33044654,.9889425,1.0025095,-.0025094915,.011057517,-.0024085785,.012497199,.98750281,1.0024086
.057486478,-.035049826,-.029961804,.2722998,.9909783,.0090216799,.0081705637,.99182945,3,.03156051,.073288143,-.054429695,-.015872793,-.052246854,-.004335132,.148121,.40455943,.97656059,.99904191,.00095809938,.023439391,.0013350208,.024807673,.97519231,.99866498,.03545652,.079516433,-.054823969,-.015275682,-.053071409,-.0068522007,.14586623,.39873335,.97817993,1.0037767,-.0037766993,.021820059,-.0027234093,.019064536,.98093551,1.0027235
.041852325,-.049071301,-.034021784,.30368209,.98720521,.012794781,.011903804,.98809618,4,.015396355,.059589546,-.072025649,-.026678804,-.058253251,-.0057044821,.16459793,.45047563,.96624744,.99832284,.0016771802,.033752549,.0024986737,.03576418,.96423584,.99750131,.020048061,.063656591,-.072431192,-.025711404,-.058970131,-.0090734409,.16124329,.44612089,.97016186,1.0042485,-.0042485464,.029838109,-.0033264463,.027134053,.97286594,1.0033264
.030867459,-.064839765,-.022990223,.3258841,.98235106,.017648924,.016856909,.98314309,5,.0084832348,.048542246,-.092115253,-.038918156,-.041486897,-.005330855,.17605259,.47839892,.95330667,.99743247,.0025675585,.04669337,.0042815851,.050247282,.94975269,.99571842,.010009198,.051725723,-.091763809,-.037915722,-.040982436,-.0049980097,.172444,.47932422,.96003282,1.0046693,-.0046693441,.039967194,-.0038284375,.037542254,.96245772,1.0038284
.020488683,-.081693746,-.020188898,.33944416,.98018801,.019811988,.023204464,.97679555,6,-.0025513009,.035475045,-.11174747,-.050959475,-.0365378,-.0021850953,.18278784,.49388337,.94973433,.99682385,.0031761522,.050265633,.0063830633,.066803113,.9331969,.99361694,.00046197532,.040515389,-.11187301,-.051514484,-.036856182,-.0035216133,.17879833,.50009,.95536673,1.0050093,-.0050093164,.044633292,-.0041918489,.050600778,.94939923,1.0041919
.016914735,-.096480004,-.016411621,.34653112,.97850972,.021490285,.031035576,.9689644,7,.0012430658,.027311271,-.12988043,-.062411379,-.030695029,.00067566149,.18602327,.49578774,.94500595,.99663997,.0033600458,.054994069,.0086112544,.086400516,.91359949,.99138874,.0031944138,.030635057,-.12988612,-.063073874,-.03190935,-.00091389491,.18186148,.51120079,.95168221,1.0053372,-.0053372369,.048317809,-.0047400477,.066811197,.9331888,1.00474
.013934522,-.10880049,-.013394237,.34847289,.97740805,.02259196,.03956623,.96043378,8,.0020180359,.023278784,-.14515901,-.070835426,-.025707431,.0024228259,.18641147,.50558168,.94101077,.99647045,.0035295552,.058989219,.012022688,.10660851,.89339149,.98797733,.0032059241,.024663119,-.14520243,-.072398566,-.027175579,.00038710333,.18210816,.51483762,.94916511,1.005651,-.005651013,.050834931,-.0054660845,.084598541,.91540146,1.0054661
.011551368,-.11834571,-.011403832,.34614387,.97667748,.023322513,.048276003,.95172399,9,.00092598458,.018952038,-.15653291,-.076059356,-.022399062,.0028122379,.18433115,.50471669,.93863869,.9963758,.003624181,.06136132,.014965836,.12606312,.87393689,.98503417,.0024403492,.020662388,-.15738042,-.079310998,-.023808852,.0010011885,.1802174,.5120703,.94747633,1.0058787,-.0058786348,.052523661,-.0062137386,.10276575,.89723426,1.0062138
