D01,D02,D03,D04,FEVD01,FEVD03,FEVD02,FEVD04,step,pD01_ll,pD01_ul,pD02_ll,pD02_ul,pD03_ll,pD03_ul,pD04_ll,pD04_ul,pFEVD01_ll,pFEVD01_ul,pFEVD03_ll,pFEVD03_ul,pFEVD02_ll,pFEVD02_ul,pFEVD04_ll,pFEVD04_ul,nD01_ll,nD01_ul,nD02_ll,nD02_ul,nD03_ll,nD03_ul,nD04_ll,nD04_ul,nFEVD01_ll,nFEVD01_ul,nFEVD03_ll,nFEVD03_ul,nFEVD02_ll,nFEVD02_ul,nFEVD04_ll,nFEVD04_ul
.44063967,.0090493383,0,.11302059,0,0,0,0,0,.41411284,.46246946,.0021750466,.022221364,0,0,.071613505,.18736237,0,0,0,0,0,0,0,0,.41617951,.46509987,-.00072005886,.018818734,0,0,.050642032,.17539915,0,0,0,0,0,0,0,0
.13647537,.018372841,.032082129,.15292317,1,0,.0063700546,.99362993,1,.11523402,.15497303,.0090740267,.036151826,.0097109424,.05454468,.096844375,.25556898,1,1,0,0,.0005737152,.016113112,.9838869,.99942625,.1154341,.15751664,.0048158919,.031929787,.010210282,.053953975,.068085074,.23776127,1,1,0,0,-.0018656082,.014605717,.98539424,1.0018656
.084068529,.030945128,.03720738,.19597769,.99518627,.0048137316,.011467136,.98853284,2,.061819561,.10162595,.018658247,.052946918,.0096690627,.066984415,.12315531,.32895905,.98639375,.99953115,.00046886184,.013606248,.003197853,.024352629,.97564739,.99680215,.065243244,.10289382,.013211652,.048678603,.011312891,.063101873,.087544888,.30441049,.98841304,1.0019596,-.0019595188,.011586982,.00036180302,.022572469,.97742748,.9996382
.05556016,.038575068,.038071014,.19581118,.98914093,.010859099,.018132607,.98186737,3,.030732546,.074351393,.024042856,.060872056,.0099522956,.065733567,.1219189,.32176277,.96942484,.9975003,.0024997005,.030575156,.0068425639,.037880629,.96211934,.99315745,.034749378,.076370947,.019516991,.057633143,.0097548133,.066387221,.08811678,.3035056,.97398353,1.0042983,-.00429828,.026016479,.0023183941,.03394682,.96605319,.99768156
.039657716,.049679,.037418272,.20308422,.98296762,.01703239,.024747359,.97525263,4,.015750028,.053776402,.032826379,.073783487,.0081568025,.062728286,.12454772,.32978451,.95423597,.99593407,.0040659239,.045764036,.010217345,.05172674,.94827324,.98978269,.020660903,.058654524,.029151468,.07020653,.0098139998,.065022543,.091978341,.31419009,.95927536,1.0066599,-.0066598458,.040724628,.0031926995,.046302017,.95369798,.99680728
.028314289,.058442365,.024844375,.20780104,.97709459,.022905385,.033439517,.96656048,5,.0069089262,.045831457,.039340682,.084402636,.0053550573,.046674617,.12640026,.33244622,.94296372,.99443269,.0055673355,.057036258,.013966182,.071019068,.92898095,.9860338,.007892088,.04873649,.036480967,.080403768,.0032472371,.046441514,.094303615,.32129848,.94582295,1.0083662,-.0083662439,.054177012,.0039267014,.062952332,.93704766,.99607331
.017378636,.070233576,.024311008,.21449219,.97456545,.025434565,.042452145,.95754784,6,-.0051778187,.031151563,.049261905,.09984988,.0067346226,.045015953,.12915374,.34349179,.93662709,.99387556,.006124428,.063372925,.018720802,.094615161,.90538484,.98127919,-.0008824204,.035639692,.046590064,.093877085,.0051830136,.043439001,.096779391,.332205,.93997562,1.0091553,-.0091552567,.060024388,.0046427846,.080261506,.91973847,.99535722
.01538191,.077732056,.019775709,.21695295,.97211677,.027883219,.053230472,.94676954,7,-.00087132654,.024435546,.054262161,.10946772,.0031865828,.037154041,.12889948,.35002157,.92930257,.99354708,.0064528724,.070697457,.023906525,.11986724,.88013279,.97609347,.0029463391,.02781748,.052511245,.10295288,.0026192719,.036932148,.097654633,.33625126,.93446189,1.0097716,-.0097716413,.065538079,.0056734015,.10078754,.89921248,.99432659
.013705868,.083437711,.01964023,.21454084,.9705115,.029488489,.06359753,.9364025,8,.0013370421,.019096894,.058755808,.11669065,.0040892833,.0351457,.1254383,.35020655,.92300487,.99321747,.0067825112,.076995164,.026789222,.14321768,.85678232,.97321081,.0039218361,.0234899,.056964539,.10991088,.004529546,.034750916,.096424639,.33265704,.93081492,1.0102081,-.010208088,.069185063,.0065838983,.12061116,.87938887,.99341613
.011826955,.086158626,.016784789,.20918317,.96893054,.031069441,.0734891,.92651093,9,.002071426,.017545786,.059773926,.11925447,.0017954058,.029481865,.12014757,.34059328,.91931134,.99290752,.0070924778,.080688648,.029959749,.16260836,.83739167,.97004026,.0036432066,.020010702,.058887776,.11342948,.0028492813,.030720297,.094149321,.32421702,.92740679,1.0104543,-.010454301,.072593182,.0074062636,.13957193,.86042809,.99259377
.01049831,.08761365,.014516221,.20209706,.96778119,.032218836,.082328223,.9176718,10,.0022062475,.015500311,.057381593,.12119784,-.00067718164,.025581587,.1138282,.32632297,.91663504,.99276984,.0072301794,.083364919,.034751445,.17948909,.82051092,.96524858,.0036876511,.017308971,.05971811,.11550919,.0014420614,.027590381,.090559162,.31363496,.92494202,1.0106204,-.010620334,.075058006,.0081078634,.15654859,.84345144,.99189216
.0088746622,.087876581,.012131169,.19439615,.96692497,.033075038,.090282984,.90971702,11,.0016584934,.01372706,.055588931,.12063533,-.0026145314,.022646073,.10749148,.31652427,.91460562,.99272084,.0072791381,.085394353,.037328772,.19421285,.80578715,.96267122,.0028097883,.014939537,.059517365,.1162358,-.00030829271,.024570629,.08642716,.30236515,.92309809,1.0107518,-.010751856,.076901935,.0087824818,.17178349,.82821649,.99121755
.0078764744,.087156475,.010240553,.18589748,.96632868,.033671349,.097391143,.90260887,12,.0015021669,.012673479,.054942399,.11883152,-.0044254716,.019610923,.10078737,.30233261,.91295326,.99268895,.0073110731,.087046742,.039170064,.20589498,.79410505,.96082997,.0024555421,.013297406,.058484163,.11582879,-.00170622,.022187326,.081510343,.29028463,.92177653,1.0108808,-.010880784,.078223482,.0094357701,.18534651,.81465352,.99056423
.0068136076,.085512035,.0087549677,.1766405,.96590531,.034094717,.10373244,.89626753,13,.00055387203,.011660216,.053619348,.11584993,-.0054590432,.016893171,.093242124,.28539968,.91174906,.9926703,.0073297191,.08825092,.040789552,.21907714,.78092289,.95921046,.001643218,.011983997,.056715708,.11430835,-.0027882885,.020298224,.076206312,.27707466,.92080021,1.0110104,-.011010361,.079199798,.010067734,.19739716,.80260283,.98993224
.0059699835,.083042592,.0073812418,.16673158,.96559638,.034403618,.10936423,.89063579,14,-.00020923896,.0099042328,.051423356,.11140782,-.0059664147,.014819406,.085979275,.27036262,.91085005,.99266267,.0073373355,.08914993,.042198818,.23140335,.76859665,.95780116,.0011012251,.010838742,.054286838,.11179834,-.0037620829,.018524567,.07036458,.26309857,.92006576,1.011127,-.011126989,.079934224,.01067156,.20805691,.79194313,.98932844
.0051361676,.079978123,.0061534713,.15647405,.96537739,.034622598,.1143372,.88566279,15,-.00096684712,.0088385902,.048231065,.10617505,-.0068947403,.013409609,.077687353,.25670207,.91021943,.99266082,.0073391609,.089780554,.043396506,.24071333,.75928664,.95660353,.0004337946,.009838541,.05139045,.1085658,-.0046243062,.016931249,.064142779,.24880533,.91951877,1.0112361,-.011236053,.080481254,.011241452,.21743295,.78256702,.98875856
.0043823356,.076476887,.0050012362,.14613995,.96522552,.034774452,.11871512,.88128489,16,-.0018112661,.0076614879,.044752121,.10117941,-.0074345833,.012398645,.0680326,.24311252,.90979254,.99254847,.0074515096,.090207472,.0442116,.24824136,.75175864,.95578837,-.00016235282,.008927024,.048145469,.10480829,-.0054103844,.015412857,.057546798,.2347331,.91911489,1.0113361,-.01133615,.080885053,.011779796,.22565044,.77434957,.98822021
.0037054799,.072684094,.0040030843,.13589032,.96512556,.034874454,.12255652,.87744349,17,-.0025253957,.0066885743,.040475741,.09587273,-.0077637718,.01129777,.061077267,.23008978,.90952063,.99239719,.0076028043,.090479359,.044899609,.25471264,.74528742,.95510042,-.00071487518,.0081258351,.044682391,.1006858,-.0060359505,.014042119,.050758079,.22102256,.91881716,1.011434,-.011433953,.08118286,.01228774,.23282529,.76717472,.98771226
.00310507,.068685196,.0031422137,.12582171,.96506172,.034938287,.12591903,.87408096,18,-.0029478443,.0061079767,.036529355,.090328485,-.0080833416,.010153875,.053984188,.21725431,.90936404,.9922418,.0077581871,.090635963,.045477256,.26025021,.73974979,.95452273,-.0011901972,.0074003371,.041078389,.096292004,-.0064992364,.012783664,.043890029,.20775339,.91859484,1.0115286,-.011528582,.081405155,.01276898,.23906907,.7609309,.98723102
.0025820401,.06455721,.0024077948,.1159988,.96502256,.034977432,.12885281,.87114716,19,-.0034575777,.0052640047,.032525342,.08596649,-.0084511032,.009067243,.045638487,.20363274,.90924799,.99215645,.0078435522,.090751976,.045959152,.2649622,.7350378,.95404083,-.0015759536,.0067400341,.037399214,.091715209,-.0068113562,.011626946,.037065595,.194932,.91842496,1.0116202,-.011620197,.081575066,.013225626,.24448,.75551999,.98677433
.0021175747,.060369458,.0017747011,.10649231,.96499974,.035000268,.13140331,.86859667,20,-.003732614,.0046889847,.028397396,.081589974,-.0086213229,.00823972,.0363537,.1900132,.90915155,.99214089,.0078590587,.090848431,.046358716,.26894623,.73105383,.9536413,-.0019008963,.0061360458,.033702638,.087036274,-.0069999108,.010549312,.03036049,.18262413,.9182924,1.0117071,-.011707042,.081707582,.013659899,.24914673,.75085324,.98634011
.0017093675,.056185309,.0012270887,.097366557,.96498746,.035012543,.13361157,.86638844,21,-.0038424544,.0041446164,.024181357,.07717292,-.0091678128,.0071498132,.028903835,.17433497,.90908408,.99212742,.0078725908,.090915926,.046687998,.27239317,.72760683,.95331198,-.0021615191,.0055802539,.030039325,.082331292,-.0070878915,.0095420694,.023866616,.17086649,.91818649,1.0117884,-.011788418,.081813507,.014072986,.25315017,.74684983,.98592705
.0013503954,.052058268,.00075913372,.088671811,.96498173,.035018295,.13551521,.86448479,22,-.0038626674,.0035623547,.020192999,.071330123,-.0087911803,.0065590981,.021310041,.15730083,.9089092,.99211562,.0078844093,.091090828,.046957761,.27521038,.72478962,.95304227,-.0023681486,.0050689396,.026457757,.07765878,-.0070842174,.0086024851,.017666774,.15967685,.91810012,1.0118634,-.011863316,.081899904,.014465589,.25656483,.74343514,.98553443
.0010387445,.048029069,.00036430196,.080439404,.96497959,.035020392,.1371488,.8628512,23,-.0038158586,.0031955827,.016467564,.065308325,-.0086754523,.0059492122,.014543166,.14441085,.90813828,.99210525,.0078947656,.09186174,.047177579,.27746582,.72253418,.95282245,-.0025218807,.0045993696,.022994896,.073063239,-.0070049288,.0077335327,.011841443,.14903736,.91802812,1.0119311,-.011931106,.081971891,.014837794,.25945979,.74054021,.9851622
.00077005156,.044129007,.000036371879,.072686091,.96497923,.035020776,.1385438,.86145622,24,-.0037462409,.0029489647,.01302949,.059372239,-.008618664,.0053626299,.0092556691,.1339862,.90755093,.99209619,.0079038059,.092449047,.047355998,.27943608,.72056395,.95264399,-.0026277916,.0041678948,.019680545,.068577468,-.0068620779,.0069348216,.0064402306,.13893196,.91796714,1.0119914,-.011991343,.082032897,.015189208,.2618984,.7381016,.98481083
.00053987559,.040381823,-.00023328181,.065419786,.96497929,.03502069,.1397289,.8602711,25,-.0035514212,.0027216002,.0098151099,.054645807,-.008434223,.0048253825,.0031558285,.12525822,.90713239,.99208832,.0079116598,.092867643,.047500573,.28109932,.71890068,.95249939,-.0026922794,.0037720306,.016535766,.064227879,-.0066756122,.0062090484,.0014945194,.12934506,.91791445,1.0120442,-.012044176,.082085557,.015519123,.2639387,.73606133,.98448086
.00034392366,.036805891,-.00045234786,.058642257,.96497911,.035020873,.14073017,.85926986,26,-.0034173355,.0024912304,.0064258175,.050503798,-.0080519542,.0043368363,-.0045444518,.11958729,.90685731,.99208152,.0079184538,.093142688,.047617886,.28238153,.71761847,.95238209,-.002721237,.0034090844,.013576884,.060034897,-.0064589651,.0055542691,-.002983578,.12026809,.91786802,1.0120902,-.012090236,.082131982,.015826764,.26563358,.73436648,.98417324
.00017827547,.033414602,-.00062749226,.052349988,.96497828,.035021696,.14157119,.85842878,27,-.0034711268,.0021868269,.0034053419,.046519101,-.0072685843,.0038916697,-.0099454373,.11290473,.90669525,.99207568,.0079243006,.093304724,.047713559,.28334731,.71665269,.95228648,-.0027203565,.0030769072,.01081555,.056013655,-.0062258062,.0049708216,-.006990979,.11169095,.91782612,1.0121305,-.012130491,.082173884,.016111353,.26703104,.73296893,.98388863
.000039700804,.03021678,-.00076422089,.046534169,.96497667,.035023309,.14227337,.85772663,28,-.0035265065,.0018736982,.00083971734,.042994455,-.0069876239,.0034879469,-.015780861,.10558009,.90661454,.99207067,.0079293046,.093385473,.047792301,.28405493,.71594512,.95220768,-.0026947258,.0027741273,.0082592946,.052174263,-.0059840446,.0044556027,-.010535935,.10360427,.91778731,1.012166,-.012166021,.082212642,.016372416,.26817432,.73182571,.98362756
-.000074846823,.027217174,-.00086742966,.041181393,.96497428,.035025708,.14285588,.85714412,29,-.0033440709,.0016635875,-.0012557476,.040460721,-.0066390866,.0031218221,-.02124819,.098682642,.90658498,.99206644,.0079335589,.093414992,.047857948,.28455621,.71544385,.95214206,-.0026484642,.0024987706,.0059113037,.048523042,-.0057409699,.0040061106,-.013636254,.09599904,.91775072,1.0121979,-.012197865,.082249284,.01660968,.2691021,.7308979,.98339033
-.00016816217,.02441716,-.00094172067,.036274731,.96497118,.0350288,.14333594,.85666406,30,-.0031728665,.0015057629,-.0030589178,.037325248,-.006334566,.0028395019,-.02550477,.092196286,.90658045,.99206287,.0079371482,.093419567,.047913574,.28489622,.71510381,.95208645,-.002585727,.0022494027,.0037710294,.045063291,-.0055005504,.003617109,-.016317451,.088866912,.91771543,1.0122269,-.012226945,.082284547,.016823243,.26984864,.73015136,.98317677
-.00024289094,.021815442,-.00099133863,.031794827,.96496755,.03503244,.14372884,.85627115,31,-.0030017239,.0013626453,-.0045338357,.034075528,-.0059897946,.0026121172,-.027479786,.086103775,.90657985,.99205983,.0079401545,.093420193,.047961563,.28511351,.71488643,.95203841,-.0025100089,.0020242271,.0018349572,.041795928,-.0052654496,.0032827724,-.018608741,.082198396,.9176811,1.012254,-.012254004,.082318887,.017013565,.2704441,.72955585,.98298645
-.00030143818,.019408582,-.0010201146,.027720666,.96496356,.035036471,.14404806,.85595191,32,-.0026980843,.0012329925,-.0057044937,.031027,-.0056143515,.0029193177,-.028228726,.080387309,.90656829,.99205732,.0079426551,.093431741,.048003718,.28524041,.71475959,.95199627,-.0024245607,.0018216844,.000097455675,.03871971,-.0050357082,.0029954787,-.020539941,.075981274,.91764748,1.0122796,-.012279582,.082352526,.017181383,.27091473,.72908521,.9828186
