D01,D02,D03,D04,FEVD01,FEVD03,FEVD02,FEVD04,step,pD01_ll,pD01_ul,pD02_ll,pD02_ul,pD03_ll,pD03_ul,pD04_ll,pD04_ul,pFEVD01_ll,pFEVD01_ul,pFEVD03_ll,pFEVD03_ul,pFEVD02_ll,pFEVD02_ul,pFEVD04_ll,pFEVD04_ul,nD01_ll,nD01_ul,nD02_ll,nD02_ul,nD03_ll,nD03_ul,nD04_ll,nD04_ul,nFEVD01_ll,nFEVD01_ul,nFEVD03_ll,nFEVD03_ul,nFEVD02_ll,nFEVD02_ul,nFEVD04_ll,nFEVD04_ul
.11338229,.035168607,0,.43923399,0,0,0,0,0,.07011015,.18444671,.012462694,.054520711,0,0,.4145413,.45669484,0,0,0,0,0,0,0,0,.056783874,.16998072,.014422611,.055914603,0,0,.41728112,.46118686,0,0,0,0,0,0,0,0
.15390171,.042872239,.00610903,.13347945,1,0,.0063700541,.99362993,1,.094169848,.24678962,.013823821,.066284142,.0016996555,.010707024,.10980077,.14940149,1,1,0,0,.0007882705,.015020809,.98497921,.99921173,.075925387,.23187804,.016377136,.069367342,.0019273254,.010290734,.11293233,.15402655,1,1,0,0,-.00098227779,.013722386,.98627758,1.0009823
.19782232,.043798413,.015204916,.080830723,.99897975,.0010202754,.014380726,.98561925,2,.12123839,.31186283,.018236399,.072308883,.0077475058,.022563569,.055218004,.10116242,.99599308,.99989808,.00010194303,.0040069283,.0031665356,.030851005,.96914899,.99683344,.098276451,.29736817,.015756322,.07184051,.0078908363,.022518994,.059062727,.10259873,.99691093,1.0010486,-.0010485462,.0030890971,-.00028070027,.029042153,.97095782,1.0002806
.1982653,.042383965,.022823805,.052344371,.99646437,.0035356528,.022464391,.97753561,3,.11997791,.30881697,.01598306,.069153018,.011695759,.032187767,.029899094,.068067655,.98917675,.99939585,.00060413749,.010823289,.0062423563,.052824646,.94717538,.99375761,.098295823,.29823476,.016026193,.068741739,.012181552,.03346606,.032278921,.072409816,.99097806,1.0019506,-.0019506272,.0090219323,-.00095476018,.04588354,.95411646,1.0009547
.20640136,.040464088,.033311836,.036544751,.99318123,.0068187942,.029935498,.97006452,4,.12440108,.32248768,.01527749,.068697251,.019932538,.046554595,.012355909,.053086013,.9795332,.99845874,.0015412454,.020466831,.0090599004,.068033844,.93196619,.99094009,.1024998,.31030291,.013782526,.067145653,.020389121,.046234548,.017044071,.056045432,.98274583,1.0036166,-.003616587,.017254176,-.00066966075,.060540657,.93945938,1.0006697
.21180257,.027024956,.041670781,.026241068,.98809218,.011907813,.036673915,.9633261,5,.12809667,.3346647,.0035840252,.045583434,.026358344,.058883674,.0013789986,.045931794,.9638918,.99737436,.0026256409,.036108192,.011558332,.081682846,.91831714,.98844171,.10595721,.31764793,.0079647265,.046085186,.026242688,.057098877,.0046988809,.047783256,.97046989,1.0057145,-.0057144845,.02953011,-.00069853163,.074046358,.92595363,1.0006986
.21941346,.025620487,.052890338,.01538287,.98235857,.01764141,.039607804,.96039218,6,.13280073,.34782773,.0075755641,.041086398,.035377629,.073926255,-.0068741012,.029587638,.9460789,.99532378,.0046762228,.053921081,.014031953,.088926874,.91107309,.98596805,.11040685,.32842007,.0089370506,.042303924,.035730757,.070049919,-.0022815331,.033047274,.95663023,1.0080869,-.0080869459,.043369766,-.000082674334,.07929828,.92070168,1.0000826
.22246484,.020940293,.060168501,.013754489,.97497112,.025028897,.042283643,.95771635,7,.13331047,.3536644,.0035797823,.032831628,.041128799,.083286949,-.0015375288,.022086874,.92673314,.99283099,.0071689845,.073266849,.015284196,.093766078,.90623391,.98471582,.11295811,.33197159,.0067148763,.035165709,.041134048,.079202957,.0019715971,.025537381,.93976128,1.010181,-.010180922,.060238715,.0002661731,.084301114,.91569889,.99973381
.22051582,.020671478,.066048466,.012094607,.96758413,.032415889,.044053826,.95594615,8,.13018417,.34654939,.0059075393,.03261384,.045736432,.087822109,.00038779964,.019122953,.9077329,.99055904,.0094409715,.092267111,.016022546,.097046405,.90295362,.98397744,.11266417,.32836747,.0077440166,.033598937,.045564562,.086532369,.0028720973,.021317115,.92333132,1.011837,-.011836928,.07666871,.00058846892,.087519184,.91248077,.99941152
.2153924,.017675184,.069188312,.010449587,.96030092,.039699107,.045777161,.95422286,9,.12514272,.3360498,.003502147,.028208379,.047825776,.090046525,.0019780954,.016425196,.88967556,.98780501,.01219496,.11032446,.016603252,.10020164,.89979839,.98339677,.11086129,.31992349,.0057979915,.029552376,.0477852,.090591431,.0029928295,.017906345,.90754956,1.0130523,-.013052279,.092450492,.00088270946,.090671614,.9093284,.99911731
.20844501,.01530781,.071204253,.0093062427,.95365071,.046349287,.047031309,.95296872,10,.11863022,.31979448,.001396205,.023560677,.047843251,.091729164,.0019186246,.014695439,.87452686,.98530269,.014697289,.12547317,.016929323,.10211435,.89788568,.98307073,.10775634,.30913371,.0043189619,.026296658,.049191456,.093217053,.0032043671,.015408117,.89336884,1.0139326,-.013932603,.10663117,.0011281857,.09293443,.90706557,.99887186
.20078966,.012800778,.072080977,.0078781312,.94755507,.05244495,.047968071,.95203191,11,.11245557,.30708951,-.0010293766,.019575717,.048128851,.090513334,.0019137366,.012055667,.86140937,.98299623,.017003775,.1385906,.017110415,.10342049,.8965795,.98288953,.10418611,.29739323,.0024043312,.023197226,.049743619,.094418347,.0029797172,.012776545,.88055599,1.0145541,-.014554126,.11944403,.0013353783,.094600767,.9053992,.99866462
