D01,D02,D03,D04,FEVD01,FEVD03,FEVD02,FEVD04,step,pD01_ll,pD01_ul,pD02_ll,pD02_ul,pD03_ll,pD03_ul,pD04_ll,pD04_ul,pFEVD01_ll,pFEVD01_ul,pFEVD03_ll,pFEVD03_ul,pFEVD02_ll,pFEVD02_ul,pFEVD04_ll,pFEVD04_ul,nD01_ll,nD01_ul,nD02_ll,nD02_ul,nD03_ll,nD03_ul,nD04_ll,nD04_ul,nFEVD01_ll,nFEVD01_ul,nFEVD03_ll,nFEVD03_ul,nFEVD02_ll,nFEVD02_ul,nFEVD04_ll,nFEVD04_ul
.45346686,-.0043623857,0,.10128819,0,0,0,0,0,.42962939,.47863543,-.0092175193,.00047890865,0,0,.058175523,.1429439,0,0,0,0,0,0,0,0,.42858636,.47834736,-.0091288202,.00040404935,0,0,.055913135,.14666325,0,0,0,0,0,0,0,0
.16617933,-.007931808,-.022846643,.17588936,1,0,.0018515082,.9981485,1,.14159331,.18226802,-.016831705,.0020737788,-.039682258,-.00078504597,.076746255,.25079045,1,1,0,0,6.0506804e-06,.0063420953,.99365795,.99999392,.14488779,.18747087,-.01695683,.0010932132,-.043716367,-.0019769173,.085059889,.26671883,1,1,0,0,-.0018091437,.0055121602,.99448788,1.0018091
.1211376,-.015057715,-.02460048,.24700551,.99776715,.0022328342,.0019851585,.99801487,2,.094526947,.13731627,-.029411985,.0013834061,-.04556147,-.00015335259,.10157233,.35223949,.99321663,.9999851,.000014873835,.0067833429,.000053264674,.0091353059,.99086469,.99994671,.099727765,.14254743,-.02857721,-.0015382189,-.046059616,-.0031413452,.11866567,.37534532,.99404699,1.0014873,-.001487313,.0059529813,-.0025554288,.0065257456,.9934743,1.0025555
.098479375,-.022452598,-.021731576,.30777249,.99547416,.0045258226,.0030110076,.99698901,3,.074987203,.11439129,-.040953066,-.0036579864,-.04148512,-.00026668923,.13443604,.43581563,.98743331,.99994624,.000053771564,.012566718,.00024731955,.012010988,.98798901,.9997527,.078480825,.11847793,-.040578529,-.0043266681,-.042164575,-.0012985757,.15230639,.46323857,.98889208,1.0020562,-.0020562557,.011107901,-.0036461281,.0096681435,.99033189,1.0036461
.088741519,-.031240027,-.027569303,.35554656,.99382991,.0061701103,.0041103382,.99588966,4,.062325526,.10528605,-.055481881,-.0079750046,-.045605652,-.0011869273,.15230793,.50169396,.98321944,.99986541,.00013460386,.016780559,.00028853895,.01594431,.98405564,.99971145,.066336542,.11114649,-.053865511,-.0086145466,-.05010752,-.0050310874,.1780528,.53304029,.98514861,1.0025111,-.0025111912,.014851412,-.0051174816,.013338158,.98666185,1.0051175
.083266333,-.040790379,-.023230378,.39544925,.99119121,.0088088047,.0055015371,.99449849,5,.057340853,.09721861,-.07390444,-.012084961,-.039824635,-.00052948302,.16875303,.55042434,.97679722,.99962878,.00037118676,.023202796,.00048129598,.024916667,.97508335,.99951869,.062671505,.10386116,-.06859991,-.012980847,-.041839279,-.0046214759,.19918996,.59170854,.97973132,1.0026511,-.0026510772,.020268686,-.0067648129,.017767888,.98223215,1.0067649
.085226946,-.049442396,-.022579178,.42764258,.98947024,.010529745,.0071455901,.99285442,6,.05711234,.093385175,-.09004885,-.016871192,-.03928474,-.0013771922,.18710038,.59355438,.97257471,.99942875,.00057128211,.027425241,.00089674408,.033287577,.96671242,.99910325,.06626451,.10418938,-.081505083,-.017379709,-.040667843,-.0044905134,.21841338,.63687176,.97600091,1.0029396,-.0029395963,.023999088,-.0087844478,.023075629,.97692436,1.0087844
.067727812,-.057776086,-.021542884,.45378724,.98795855,.012041455,.0088214446,.99117857,7,.044531733,.075068615,-.10262382,-.022621814,-.038040847,.00034306035,.20021799,.62326288,.97011769,.99922842,.00077157479,.029882267,.001423917,.040510692,.95948929,.99857605,.052114114,.083341517,-.094229423,-.021322751,-.039734568,-.0033512008,.23241952,.67515492,.97261345,1.0033036,-.0033036219,.027386533,-.010666217,.028309107,.97169089,1.0106663
.057614416,-.065617912,-.019585764,.47506207,.98655903,.013440968,.010521328,.98947865,8,.035896912,.064411528,-.11608541,-.027763754,-.036275316,.0015215904,.21074045,.65344024,.96582782,.9991194,.00088060042,.0341722,.0020233144,.048722997,.95127702,.99797666,.042917471,.072311364,-.10642155,-.02481427,-.036918499,-.0022530265,.24337389,.70675027,.96934241,1.0037756,-.0037756299,.030657565,-.012706256,.033748914,.96625108,1.0127063
.049928382,-.072903655,-.017769007,.492255,.98541522,.014584787,.012223798,.98777622,9,.029753577,.056241091,-.12826806,-.032935668,-.033355683,.001933848,.21842077,.67908835,.96229386,.99902117,.0009788085,.037706137,.002461371,.056871217,.94312876,.99753863,.03581164,.064045124,-.11791083,-.027896479,-.034175415,-.0013625983,.25267237,.73183763,.96656764,1.0042628,-.0042627798,.033432353,-.014878412,.039326008,.96067399,1.0148784
