state,year,month,is_school,is_res,is_bus,is_sip
,2020,3,0,.75,.5,.5
,2020,4,0,.75,.75,.75
,2020,5,0,0,0,0
AK,2020,3,.53000718,.75,.5,.5
AK,2020,4,.7066763,.75,.75,.75
AK,2020,5,.7066763,0,0,0
AL,2020,3,.43939993,.75,.5,.25
AL,2020,4,.58586657,1,1,1
AL,2020,5,.58586657,.5,0,0
AR,2020,3,.28901324,.75,0,0
AR,2020,4,.33493537,1,0,0
AR,2020,5,.33493537,.5,0,0
AZ,2020,3,.71982449,.75,.25,.25
AZ,2020,4,.95976597,1,1,1
AZ,2020,5,.95976597,.5,.25,.5
CA,2020,3,.74371737,.75,.75,.75
CA,2020,4,.96066177,1,1,1
CA,2020,5,.96066177,.99542075,1,1
CO,2020,3,.57726991,.75,.50034887,.50034887
CO,2020,4,.83873153,1,1,1
CO,2020,5,.83873153,1,.12491126,.12491126
CT,2020,3,.75,.75,.5,.5
CT,2020,4,1,1,1,1
CT,2020,5,1,.75,.75,.75
DC,2020,3,.75,.75,.5,.25
DC,2020,4,1,1,1,1
DC,2020,5,1,1,1,1
DE,2020,3,.5,.75,.5,.5
DE,2020,4,1,1,1,1
DE,2020,5,1,1,1,1
FL,2020,3,.73087013,.75,.38778204,.32878518
FL,2020,4,.95180833,1,1,1
FL,2020,5,.95180833,.37467515,.37467515,.37467515
GA,2020,3,.50167334,.4262608,.29078293,.3348732
GA,2020,4,.63213342,1,.75,1
GA,2020,5,.63213342,0,0,0
HI,2020,3,.74148691,.75,.5,.5
HI,2020,4,.94887155,1,1,1
HI,2020,5,.94887155,1,.25,1
IA,2020,3,.41207394,.75,.5,0
IA,2020,4,.52542371,1,1,0
IA,2020,5,.52542371,.28811803,.28811803,0
ID,2020,3,.23079616,.5,.50320566,.50320566
ID,2020,4,.46159232,1,1,1
ID,2020,5,.46159232,.5,0,0
IL,2020,3,.61586827,.75,.75,.75
IL,2020,4,.82115769,1,1,1
IL,2020,5,.82115769,1,1,1
IN,2020,3,.47505537,.75,.5,.5
IN,2020,4,.62440407,1,1,1
IN,2020,5,.48137078,.56205499,.31205499,.31205499
KS,2020,3,.43199039,.42315143,.41573751,.41689175
KS,2020,4,.55585325,1,1,1
KS,2020,5,.55585325,.31627804,.31627804,.31627804
KY,2020,3,.26140466,.75,.5,.5
KY,2020,4,.34853953,1,1,1
KY,2020,5,.34853953,.75,.5,1
LA,2020,3,.75736147,.75,.52096069,.52096069
LA,2020,4,.75736147,1,1,1
LA,2020,5,.75736147,.5,.5,.5
MA,2020,3,.77693456,.75,.5,.5
MA,2020,4,.99581683,1,1,1
MA,2020,5,.99581683,1,.75,.75
MD,2020,3,.70168561,.75,.5,.25
MD,2020,4,.93558079,1,1,1
MD,2020,5,.93558079,1,.54839414,.54839414
ME,2020,3,.11401106,.75,.5,.25
ME,2020,4,.45604423,1,1,1
ME,2020,5,.45604423,.89209241,0,1
MI,2020,3,.56874758,.75,.5,.5
