fiscal_week,is_school,is_res,is_bus,is_sip,state_fips,county_fips,popestimate2020,state
16,0,1,1,1,1,1,56145,AL
14,0,1,1,1,1,1,56145,AL
13,0,1,1,0,1,1,56145,AL
22,0,0,0,0,1,1,56145,AL
21,0,0,0,0,1,1,56145,AL
20,0,1,0,0,1,1,56145,AL
19,0,1,0,0,1,1,56145,AL
15,0,1,1,1,1,1,56145,AL
12,0,1,0,0,1,1,56145,AL
11,0,0,0,0,1,1,56145,AL
17,0,1,1,1,1,1,56145,AL
18,0,1,1,1,1,1,56145,AL
18,1,1,1,1,1,3,229287,AL
20,1,1,0,0,1,3,229287,AL
16,1,1,1,1,1,3,229287,AL
12,1,1,0,0,1,3,229287,AL
11,0,0,0,0,1,3,229287,AL
19,1,1,0,0,1,3,229287,AL
21,1,0,0,0,1,3,229287,AL
15,1,1,1,1,1,3,229287,AL
13,1,1,1,0,1,3,229287,AL
17,1,1,1,1,1,3,229287,AL
22,1,0,0,0,1,3,229287,AL
14,1,1,1,1,1,3,229287,AL
22,0,0,0,0,1,5,24589,AL
14,0,1,1,1,1,5,24589,AL
17,0,1,1,1,1,5,24589,AL
15,0,1,1,1,1,5,24589,AL
19,0,1,0,0,1,5,24589,AL
13,0,1,1,0,1,5,24589,AL
20,0,1,0,0,1,5,24589,AL
18,0,1,1,1,1,5,24589,AL
16,0,1,1,1,1,5,24589,AL
12,0,1,0,0,1,5,24589,AL
21,0,0,0,0,1,5,24589,AL
11,0,0,0,0,1,5,24589,AL
18,0,1,1,1,1,7,22136,AL
20,0,1,0,0,1,7,22136,AL
19,0,1,0,0,1,7,22136,AL
11,0,0,0,0,1,7,22136,AL
22,0,0,0,0,1,7,22136,AL
21,0,0,0,0,1,7,22136,AL
12,0,1,0,0,1,7,22136,AL
14,0,1,1,1,1,7,22136,AL
16,0,1,1,1,1,7,22136,AL
15,0,1,1,1,1,7,22136,AL
13,0,1,1,0,1,7,22136,AL
17,0,1,1,1,1,7,22136,AL
12,0,1,0,0,1,9,57879,AL
13,0,1,1,0,1,9,57879,AL
21,0,0,0,0,1,9,57879,AL
19,0,1,0,0,1,9,57879,AL
14,0,1,1,1,1,9,57879,AL
16,0,1,1,1,1,9,57879,AL
11,0,0,0,0,1,9,57879,AL
18,0,1,1,1,1,9,57879,AL
20,0,1,0,0,1,9,57879,AL
15,0,1,1,1,1,9,57879,AL
17,0,1,1,1,1,9,57879,AL
22,0,0,0,0,1,9,57879,AL
18,0,1,1,1,1,11,9976,AL
12,0,1,0,0,1,11,9976,AL
14,0,1,1,1,1,11,9976,AL
16,0,1,1,1,1,11,9976,AL
11,0,0,0,0,1,11,9976,AL
20,0,1,0,0,1,11,9976,AL
15,0,1,1,1,1,11,9976,AL
21,0,0,0,0,1,11,9976,AL
13,0,1,1,0,1,11,9976,AL
17,0,1,1,1,1,11,9976,AL
22,0,0,0,0,1,11,9976,AL
19,0,1,0,0,1,11,9976,AL
15,1,1,1,1,1,13,19504,AL
20,1,1,0,0,1,13,19504,AL
18,1,1,1,1,1,13,19504,AL
13,1,1,1,0,1,13,19504,AL
21,1,0,0,0,1,13,19504,AL
12,1,1,0,0,1,13,19504,AL
16,1,1,1,1,1,13,19504,AL
11,0,0,0,0,1,13,19504,AL
14,1,1,1,1,1,13,19504,AL
19,1,1,0,0,1,13,19504,AL
22,1,0,0,0,1,13,19504,AL
17,1,1,1,1,1,13,19504,AL
18,0,1,1,1,1,15,113469,AL
15,0,1,1,1,1,15,113469,AL
21,0,0,0,0,1,15,113469,AL
19,0,1,0,0,1,15,113469,AL
20,0,1,0,0,1,15,113469,AL
11,0,0,0,0,1,15,113469,AL
22,0,0,0,0,1,15,113469,AL
14,0,1,1,1,1,15,113469,AL
17,0,1,1,1,1,15,113469,AL
12,0,1,0,0,1,15,113469,AL
16,0,1,1,1,1,15,113469,AL
13,0,1,1,0,1,15,113469,AL
18,1,1,1,1,1,17,32865,AL
22,1,0,0,0,1,17,32865,AL
21,1,0,0,0,1,17,32865,AL
11,0,0,0,0,1,17,32865,AL
20,1,1,0,0,1,17,32865,AL
17,1,1,1,1,1,17,32865,AL
14,1,1,1,1,1,17,32865,AL
13,1,1,1,0,1,17,32865,AL
16,1,1,1,1,1,17,32865,AL
15,1,1,1,1,1,17,32865,AL
19,1,1,0,0,1,17,32865,AL
12,1,1,0,0,1,17,32865,AL
17,0,1,1,1,1,19,26294,AL
11,0,0,0,0,1,19,26294,AL
12,0,1,0,0,1,19,26294,AL
14,0,1,1,1,1,19,26294,AL
16,0,1,1,1,1,19,26294,AL
18,0,1,1,1,1,19,26294,AL
15,0,1,1,1,1,19,26294,AL
19,0,1,0,0,1,19,26294,AL
22,0,0,0,0,1,19,26294,AL
21,0,0,0,0,1,19,26294,AL
13,0,1,1,0,1,19,26294,AL
20,0,1,0,0,1,19,26294,AL
20,0,1,0,0,1,21,44397,AL
16,0,1,1,1,1,21,44397,AL
13,0,1,1,0,1,21,44397,AL
19,0,1,0,0,1,21,44397,AL
18,0,1,1,1,1,21,44397,AL
12,0,1,0,0,1,21,44397,AL
21,0,0,0,0,1,21,44397,AL
15,0,1,1,1,1,21,44397,AL
22,0,0,0,0,1,21,44397,AL
14,0,1,1,1,1,21,44397,AL
11,0,0,0,0,1,21,44397,AL
17,0,1,1,1,1,21,44397,AL
18,0,1,1,1,1,23,12418,AL
12,0,1,0,0,1,23,12418,AL
14,0,1,1,1,1,23,12418,AL
19,0,1,0,0,1,23,12418,AL
16,0,1,1,1,1,23,12418,AL
15,0,1,1,1,1,23,12418,AL
17,0,1,1,1,1,23,12418,AL
13,0,1,1,0,1,23,12418,AL
11,0,0,0,0,1,23,12418,AL
20,0,1,0,0,1,23,12418,AL
22,0,0,0,0,1,23,12418,AL
21,0,0,0,0,1,23,12418,AL
14,0,1,1,1,1,25,23291,AL
11,0,0,0,0,1,25,23291,AL
15,0,1,1,1,1,25,23291,AL
13,0,1,1,0,1,25,23291,AL
19,0,1,0,0,1,25,23291,AL
22,0,0,0,0,1,25,23291,AL
12,0,1,0,0,1,25,23291,AL
21,0,0,0,0,1,25,23291,AL
16,0,1,1,1,1,25,23291,AL
20,0,1,0,0,1,25,23291,AL
17,0,1,1,1,1,25,23291,AL
18,0,1,1,1,1,25,23291,AL
19,0,1,0,0,1,27,13112,AL
15,0,1,1,1,1,27,13112,AL
16,0,1,1,1,1,27,13112,AL
17,0,1,1,1,1,27,13112,AL
13,0,1,1,0,1,27,13112,AL
20,0,1,0,0,1,27,13112,AL
22,0,0,0,0,1,27,13112,AL
12,0,1,0,0,1,27,13112,AL
18,0,1,1,1,1,27,13112,AL
14,0,1,1,1,1,27,13112,AL
11,0,0,0,0,1,27,13112,AL
21,0,0,0,0,1,27,13112,AL
12,0,1,0,0,1,29,14967,AL
21,0,0,0,0,1,29,14967,AL
13,0,1,1,0,1,29,14967,AL
16,0,1,1,1,1,29,14967,AL
19,0,1,0,0,1,29,14967,AL
14,0,1,1,1,1,29,14967,AL
20,0,1,0,0,1,29,14967,AL
15,0,1,1,1,1,29,14967,AL
22,0,0,0,0,1,29,14967,AL
11,0,0,0,0,1,29,14967,AL
18,0,1,1,1,1,29,14967,AL
17,0,1,1,1,1,29,14967,AL
21,0,0,0,0,1,31,53230,AL
18,0,1,1,1,1,31,53230,AL
16,0,1,1,1,1,31,53230,AL
15,0,1,1,1,1,31,53230,AL
19,0,1,0,0,1,31,53230,AL
20,0,1,0,0,1,31,53230,AL
13,0,1,1,0,1,31,53230,AL
22,0,0,0,0,1,31,53230,AL
12,0,1,0,0,1,31,53230,AL
11,0,0,0,0,1,31,53230,AL
14,0,1,1,1,1,31,53230,AL
17,0,1,1,1,1,31,53230,AL
17,0,1,1,1,1,33,55411,AL
11,0,0,0,0,1,33,55411,AL
18,0,1,1,1,1,33,55411,AL
15,0,1,1,1,1,33,55411,AL
22,0,0,0,0,1,33,55411,AL
14,0,1,1,1,1,33,55411,AL
20,0,1,0,0,1,33,55411,AL
21,0,0,0,0,1,33,55411,AL
19,0,1,0,0,1,33,55411,AL
16,0,1,1,1,1,33,55411,AL
