D01,D02,D03,D04,FEVD01,FEVD03,FEVD02,FEVD04,step,pD01_ll,pD01_ul,pD02_ll,pD02_ul,pD03_ll,pD03_ul,pD04_ll,pD04_ul,pFEVD01_ll,pFEVD01_ul,pFEVD03_ll,pFEVD03_ul,pFEVD02_ll,pFEVD02_ul,pFEVD04_ll,pFEVD04_ul,nD01_ll,nD01_ul,nD02_ll,nD02_ul,nD03_ll,nD03_ul,nD04_ll,nD04_ul,nFEVD01_ll,nFEVD01_ul,nFEVD03_ll,nFEVD03_ul,nFEVD02_ll,nFEVD02_ul,nFEVD04_ll,nFEVD04_ul
.45257139,.0068097617,0,.11658391,0,0,0,0,0,.4214057,.47250646,.00075017428,.014381626,0,0,.071733966,.18245396,0,0,0,0,0,0,0,0,.42760342,.47753939,-.00019038969,.013809914,0,0,.061282482,.17188533,0,0,0,0,0,0,0,0
.16391377,.013229999,.023877069,.16483952,1,0,.0034002231,.99659979,1,.13602364,.1814543,.003517237,.0252818,-.0016260939,.044356003,.10093313,.25394899,1,1,0,0,.000093888266,.010176899,.9898231,.99990612,.14196794,.18585961,.0028510913,.023608906,.00091614586,.046837993,.085870899,.24380815,1,1,0,0,-.0017364331,.008536879,.99146312,1.0017364
.11840261,.022203667,.028323814,.21900657,.99754536,.0024546527,.0054020789,.99459791,2,.089832962,.13470048,.0076970588,.038518518,.0051334398,.047304746,.13253394,.33347845,.99174392,.99996722,.000032789041,.0082560461,.00055464904,.013343869,.98665613,.99944532,.095600314,.14120491,.0078426013,.036564734,.0058398163,.050807811,.11457666,.32343647,.99309528,1.0019954,-.001995421,.0069047264,-.0015066266,.012310784,.9876892,1.0015066
.095602565,.026150052,.031296287,.23115437,.99444574,.005554283,.00798738,.99201262,3,.070109889,.11089037,.0094599668,.043694496,.0056290901,.056666419,.13753819,.34837994,.9847638,.99964893,.00035108527,.01523619,.0015389293,.01813882,.98186123,.99846107,.074414581,.11679054,.0097044893,.042595614,.0068217958,.055770777,.12040079,.34190795,.98643714,1.0024543,-.0024542974,.013562864,-.0010481251,.017022885,.98297709,1.0010481
.085221581,.033028942,.032363884,.25129026,.99085611,.0091439178,.0097398302,.99026018,4,.052433562,.10440882,.014292878,.052528277,.0060914895,.055694982,.14910993,.37801689,.97434902,.99939162,.00060838216,.025651012,.002128053,.022902852,.97709715,.99787194,.059755769,.11068739,.014367394,.051690485,.0077498765,.056977894,.13067345,.37190706,.9782266,1.0034857,-.0034856109,.021773446,-.0013811715,.020860832,.97913921,1.0013812
.078014702,.036837574,.02185908,.26952374,.98719734,.012802671,.011978788,.98802119,5,.05156073,.092334203,.015661918,.057845652,.0011457205,.040963113,.15988688,.40511453,.96594119,.99857581,.001424162,.034058776,.003269908,.02938199,.97061801,.99673009,.056661535,.099367864,.015963826,.057711322,.0026084511,.041109711,.14070281,.3983447,.97019786,1.0041969,-.0041968278,.02980217,-.001509623,.0254672,.97453278,1.0015097
.077673189,.041624893,.025146613,.289731,.98575002,.014250003,.013648705,.98635131,6,.051673226,.090393484,.017441479,.063524805,.0038811308,.042283624,.17231855,.4329142,.96106756,.99778181,.0022181945,.038932435,.0040934291,.035519879,.96448016,.99590659,.058247328,.097099051,.018420413,.064829372,.0063508851,.04394234,.15178905,.42767292,.9669922,1.0045078,-.0045078001,.033007804,-.0019599362,.029257346,.97074264,1.0019599
.060926527,.045349989,.024596145,.30544642,.98382217,.016177859,.015181487,.98481852,7,.039352491,.07143414,.018881183,.068461716,.003668861,.041540951,.1817897,.45558828,.95566237,.99727094,.0027290615,.0443376,.0047496906,.041564692,.9584353,.99525028,.045339406,.076513648,.019609174,.071090803,.0056669619,.043525327,.16084482,.45004803,.96275538,1.004889,-.004888935,.037244655,-.0023356644,.032698639,.96730137,1.0023357
.051573958,.049088169,.027549148,.31568679,.98193157,.018068405,.016497323,.98350269,8,.032213219,.061289676,.020575158,.076025099,.0050535807,.044232294,.18736543,.46616322,.95146608,.99693209,.0030679004,.048533931,.0048938263,.046935529,.95306444,.99510616,.036961596,.066186316,.020761864,.077414475,.0088230576,.046275239,.16672827,.4646453,.95852005,1.0053431,-.0053430945,.041479904,-.0028557952,.035850443,.96414959,1.0028558
.044013813,.052201085,.026588617,.32255539,.97949791,.020502064,.017782168,.98221785,9,.025830381,.053199969,.021817759,.081068426,.0035847398,.042889215,.18855077,.47172362,.94619846,.99687302,.0031269439,.05380154,.0052726967,.051176324,.94882369,.99472725,.030333063,.057694566,.021571474,.08283069,.0083808973,.044796336,.17092811,.4741827,.9532336,1.0057622,-.0057622287,.046766359,-.003482522,.039046858,.96095318,1.0034826
