D01,D02,D03,D04,FEVD01,FEVD03,FEVD02,FEVD04,step,pD01_ll,pD01_ul,pD02_ll,pD02_ul,pD03_ll,pD03_ul,pD04_ll,pD04_ul,pFEVD01_ll,pFEVD01_ul,pFEVD03_ll,pFEVD03_ul,pFEVD02_ll,pFEVD02_ul,pFEVD04_ll,pFEVD04_ul,nD01_ll,nD01_ul,nD02_ll,nD02_ul,nD03_ll,nD03_ul,nD04_ll,nD04_ul,nFEVD01_ll,nFEVD01_ul,nFEVD03_ll,nFEVD03_ul,nFEVD02_ll,nFEVD02_ul,nFEVD04_ll,nFEVD04_ul
.11678262,.026390087,0,.45180133,0,0,0,0,0,.073203415,.18157391,.0012885733,.046733052,0,0,.4177388,.47177631,0,0,0,0,0,0,0,0,.060514715,.17305052,.0058732554,.046906918,0,0,.42781708,.47578558,0,0,0,0,0,0,0,0
.1653305,.033394489,.0035954576,.16224256,1,0,.0034002231,.99659979,1,.10270077,.25340909,.0095337108,.055825919,-.0015767189,.0081722764,.13697687,.18047349,1,1,0,0,.000013559153,.010903627,.9890964,.99998641,.087781049,.24287996,.00972139,.057067588,-.0008246426,.0080155581,.14020535,.18427977,1,1,0,0,-.001783782,.0085842283,.9914158,1.0017838
.21992864,.035179846,.0093952995,.11654954,.99968457,.00031541361,.0078000454,.99219996,2,.13772343,.33154684,.011147338,.057125077,.0020851258,.016216123,.089088604,.1308035,.99762595,.9999963,3.7099867e-06,.0023740209,.00079866685,.019988198,.98001182,.9992013,.11748021,.32237709,.012686402,.05767329,.0023194996,.016471101,.095406465,.1376926,.99843132,1.0009378,-.00093785673,.001568684,-.0015684396,.017168531,.98283148,1.0015684
.2322859,.036817756,.012626613,.093614958,.99886853,.001131446,.012341139,.98765886,3,.14407511,.34299171,.012923872,.055242047,.0024845386,.023047479,.067397945,.11385466,.99388385,.99993062,.000069376401,.006116163,.0026149387,.030380975,.96961904,.99738503,.12657918,.33799261,.015192887,.058442626,.002086862,.023166362,.07151714,.11571278,.99587893,1.0018581,-.001858127,.004121019,-.0013867328,.02606901,.97393101,1.0013868
.25278863,.037278209,.018319644,.083189383,.9981845,.0018155011,.017125998,.98287398,4,.15712611,.37157208,.013604501,.059387945,.0052314792,.032753408,.055263553,.10023876,.99030113,.99985743,.00014260714,.0096988427,.0043696808,.037842795,.96215725,.99563032,.13883452,.36674276,.015199987,.059356429,.0053736898,.031265602,.060801331,.10557744,.99337661,1.0029924,-.0029923865,.0066233887,-.00020473391,.03445673,.96554327,1.0002047
.2712132,.026371036,.021058576,.076607317,.99713063,.0028693506,.021823928,.97817606,5,.16718653,.39482343,.0054832473,.047694255,.006591009,.039061978,.050861735,.092444316,.98708397,.9997192,.0002807891,.012916051,.0058831647,.049523007,.950477,.99411684,.15031588,.3921105,.0075271074,.045214962,.005415231,.036701921,.056619696,.096594945,.99017143,1.0040898,-.0040898435,.0098285442,.00068451604,.042963341,.95703667,.99931544
.2916652,.02963306,.024659434,.07607469,.99631041,.0036895589,.02385344,.97614658,6,.17971757,.4234415,.0079635363,.047523342,.0079422193,.043250278,.05162929,.087773137,.98393393,.99956548,.00043452065,.01606603,.0059200656,.053844646,.94615531,.99407995,.16211128,.42121911,.010633226,.048632894,.0068363226,.042482547,.058512766,.09363661,.98736596,1.0052549,-.0052549164,.012634034,.00086135516,.046845526,.9531545,.99913865
.30757111,.028107006,.027461803,.059388619,.99551588,.004484117,.026433356,.97356665,7,.18819797,.44512588,.0073879901,.043945625,.0080703273,.047991,.039321758,.068493932,.98071688,.99944222,.00055774185,.019283116,.0061242725,.059424944,.940575,.99387574,.17173739,.44340485,.0098606702,.046353344,.0067595583,.048164047,.045086514,.073690727,.98490292,1.0061288,-.006128822,.015097056,.0008207655,.052045945,.94795406,.99917924
.31801203,.030509623,.030596495,.049879771,.99481028,.0051897191,.028821189,.97117883,8,.1933507,.45821971,.011604722,.042854525,.0075826356,.053158522,.031392083,.058951914,.9770537,.99930483,.00069515116,.022946296,.0063758879,.064148657,.93585134,.99362409,.17840265,.4576214,.0130289,.047990344,.0070627984,.054130189,.036494691,.063264847,.98264879,1.0069717,-.0069717476,.017351186,.00086199201,.056780387,.9432196,.99913806
.32505047,.029109884,.033303592,.042388503,.9940908,.0059092198,.031726513,.96827346,9,.19545692,.46229488,.0099396314,.041351952,.0071104877,.05846737,.025193604,.050325744,.97379494,.99921149,.00078853476,.026205093,.0067849504,.069837466,.93016255,.99321508,.18333973,.46676123,.0124341,.045785666,.0070972056,.059509978,.029670892,.055106111,.98038024,1.0078013,-.0078013311,.01961977,.001016881,.062436145,.93756384,.99898309
.32987961,.027940411,.035764426,.036938347,.99337876,.006621215,.034367274,.96563274,10,.19593579,.46119425,.0079984702,.039201044,.0068693636,.063649282,.020895638,.045226637,.97067571,.99912953,.00087050366,.029324267,.0071496195,.074573077,.92542696,.99285036,.18675564,.4730036,.011497416,.044383407,.0070645646,.064464286,.024750927,.049125765,.97807503,1.0086825,-.008682495,.021924926,.001293742,.067440808,.93255919,.99870628
.3336584,.026153147,.03780454,.03214239,.99267513,.0073248837,.036794435,.96320558,11,.19495323,.45720452,.0062047997,.0364758,.0069980943,.068105444,.017357849,.040068679,.96767068,.99914819,.00085181592,.032329276,.0074654054,.078588247,.92141175,.99253464,.18939123,.47792557,.010200386,.042105909,.0068263491,.068782724,.020668665,.043616116,.97576845,1.0095818,-.0095817661,.024231534,.0015380508,.072050817,.92794919,.99846196
.33596721,.025253702,.039549705,.028114626,.99200076,.0079992693,.038913362,.96108663,12,.19320881,.45827609,.0058318414,.034600906,.0067854552,.071732253,.014083575,.036012888,.9643997,.99916697,.0008330135,.035600342,.0077378764,.081921861,.91807818,.99226213,.1909966,.48093784,.0096359374,.040871467,.006513997,.072585411,.017127214,.03910204,.97351503,1.0104865,-.010486451,.02648499,.0018072251,.076019496,.92398047,.99819279
.33677876,.024514919,.041043289,.024181256,.99135774,.0086422684,.040890791,.95910919,13,.19096901,.46059752,.0051304461,.033606481,.0059941364,.074828312,.011535202,.031521462,.96128404,.99918902,.00081094902,.038715962,.0080057122,.084779218,.91522074,.99199426,.19181211,.48174542,.0093311248,.039698713,.0062349043,.075851671,.014092384,.03427013,.97133225,1.0113833,-.01138324,.028667778,.0020832499,.079698332,.92030168,.9979167
.33610842,.023784509,.042304415,.020971444,.99074405,.0092559252,.042759888,.9572401,14,.18783277,.45708451,.004509971,.032446049,.0051892065,.077125773,.0094722416,.027897224,.95833755,.99921262,.00078738178,.041662484,.0082798284,.087183282,.91281676,.9917202,.191792,.48042479,.0089188032,.038650215,.0060049812,.078603849,.0116773,.030265588,.96921778,1.0122703,-.012270372,.030782223,.002412176,.083107598,.91689241,.9975878
.3342945,.022894815,.043336663,.018258074,.99015683,.0098431511,.044522215,.95547777,15,.18397132,.44749641,.0036786455,.031687465,.0045699487,.079118118,.0079344697,.024642669,.95555723,.99923575,.00076421082,.044442739,.0085539408,.08827959,.9117204,.99144608,.19113357,.47745541,.0083570611,.03743257,.0058262781,.080847055,.0097191567,.026796991,.96716946,1.0131443,-.013144225,.032830525,.002761693,.086282738,.91371727,.99723828
.33161038,.021927126,.044138998,.015985349,.98959523,.010404783,.046156038,.95384395,16,.17962244,.44089133,.0023816815,.031065745,.0040012989,.080858126,.0065710135,.02183276,.95293498,.99925727,.00074274652,.047064971,.0088195503,.089658193,.9103418,.99118042,.18986239,.47335836,.0076481742,.036206078,.0056675929,.082610399,.0081235459,.023847153,.96519071,1.0139998,-.013999757,.034809325,.0031341752,.089177899,.91082209,.99686581
.32821864,.021015313,.044730317,.014030796,.98905998,.010940042,.047654428,.95234555,17,.17469886,.4372226,.0015634702,.030054078,.0031394039,.082083628,.005405183,.019117365,.95068067,.99927676,.00072324579,.049319327,.0090718511,.09086559,.90913439,.99092817,.18808247,.46835482,.0069618467,.035068776,.0055341176,.083926521,.0068344632,.021227129,.96328753,1.0148324,-.0148324,.036712483,.0035066183,.091802239,.90819776,.99649334
.32420322,.02018613,.045132693,.012347996,.9885515,.011448506,.049030501,.95096952,18,.16934878,.43266892,.00086091022,.029117741,.0023504647,.082835689,.0044448562,.016897105,.94832891,.99929452,.0007055162,.051671091,.0093126595,.091951922,.90804809,.99068737,.18584572,.46256071,.0062941019,.034078158,.0054340209,.084831364,.0057465392,.018949453,.9614647,1.0156384,-.015638301,.038535312,.0038812866,.09417972,.90582031,.99611872
.3196283,.019418858,.045368314,.010889208,.98806953,.011930481,.05029982,.94970018,19,.16374096,.4220565,.00026671539,.028136553,.0017432261,.082631379,.0036607436,.014988085,.94609499,.99932462,.00067539862,.053905029,.0095437076,.093484744,.90651524,.99045628,.18322793,.4560287,.005667917,.033169799,.0053773113,.085359313,.0048626098,.016915808,.95972425,1.0164149,-.016414834,.040275794,.0042503048,.096349336,.90365064,.99574971
