state,date,unemp_rate,hp_unemp_rate,hf_unemp_rate,ln_EPU_Composite,ln_Employment,hp_ln_EPU_Composite,hp_ln_Employment,hf_ln_EPU_Composite,hf_ln_Employment
AK,7/1/2001,6.2,-0.88298832,,3.882099593,1261.767555,-0.766993567,0.793787306,,
AK,8/1/2001,6.3,-0.788377704,,4.28754726,1261.824852,-0.361891316,0.721408397,,
AK,9/1/2001,6.4,-0.693760274,,4.365796384,1261.836109,-0.283981691,0.602982876,,
AK,10/1/2001,6.5,-0.599123136,,4.685064144,1261.829487,0.0349612,0.466661087,,
AK,11/1/2001,6.6,-0.504448038,,5.272442788,1261.8126,0.622040504,0.320039748,,
AK,12/1/2001,6.7,-0.409712109,,4.733795828,1261.805646,0.083130367,0.183296971,,
AK,1/1/2002,6.8,-0.314888584,,4.721474707,1261.837102,0.070588064,0.084887914,,
AK,2/1/2002,6.9,-0.219947538,,4.823693641,1261.897999,0.172633001,0.015819654,,
AK,3/1/2002,7,-0.124856613,,4.313208837,1261.964811,-0.337973968,-0.047458787,,
AK,4/1/2002,7.1,-0.029581759,,4.938576728,1262.051071,0.287326904,-0.091438386,,
AK,5/1/2002,7.2,0.065912043,,4.248174048,1262.166299,-0.403081728,-0.106623962,,
AK,6/1/2002,7.2,0.061660035,,4.659495716,1262.300838,0.008298762,-0.102695114,,
AK,7/1/2002,7.2,0.057696954,,4.658308692,1262.424994,0.007242148,-0.109369237,,
AK,8/1/2002,7.2,0.054057061,,4.875291975,1262.541107,0.22443418,-0.124328625,,
AK,9/1/2002,7.3,0.150774169,,5.381505967,1262.664637,0.730941954,-0.132133603,,
AK,10/1/2002,7.3,0.147881678,,5.4570974,1262.776537,0.806917168,-0.151852235,,
AK,11/1/2002,7.4,0.245411821,,4.610557449,1262.877173,-0.039149681,-0.183137136,,
AK,12/1/2002,7.4,0.243395691,,5.213524817,1262.974761,0.564373208,-0.217789081,,
AK,1/1/2003,7.5,0.341862489,,4.622493369,1263.075524,-0.026026901,-0.249602791,,
AK,2/1/2003,7.6,0.440839536,,4.344910136,1263.180759,-0.302913934,-0.277296192,,
AK,3/1/2003,7.6,0.440351517,,4.883368277,1263.262713,0.236294517,-0.328634611,,
AK,4/1/2003,7.7,0.540419712,,4.818855307,1263.28882,0.172577546,-0.436195565,,
AK,5/1/2003,7.7,0.541062008,,5.149974132,1263.257491,0.504527822,-0.60157551,,
AK,6/1/2003,7.8,0.642292118,,5.43497602,1263.212439,0.790385038,-0.781067221,,
AK,7/1/2003,7.8,0.644119583,,4.726911511,1263.215051,0.083184269,-0.913282467,,
AK,8/1/2003,7.8,0.646548986,,3.495241912,1263.303176,-1.147634738,-0.960367581,,
AK,9/1/2003,7.7,0.549579942,,4.450446489,1263.453136,-0.191614928,-0.94598716,,
AK,10/1/2003,7.7,0.553207074,,4.533190286,1263.642547,-0.108104602,-0.892505814,,
AK,11/1/2003,7.7,0.557420768,,4.015404885,1263.850096,-0.625184055,-0.821208197,,
AK,12/1/2003,7.6,0.46220714,,4.328581289,1264.033575,-0.311373317,-0.774267683,,
AK,1/1/2004,7.6,0.467548003,,5.126513584,1264.157541,0.48711548,-0.787087298,,
AK,2/1/2004,7.6,0.473421607,,5.217282675,1264.245162,0.578359434,-0.836450627,,
AK,3/1/2004,7.6,0.479802592,,5.033176195,1264.348529,0.394638604,-0.870216715,,
AK,4/1/2004,7.6,0.486661946,,4.470803473,1264.494674,-0.16744971,-0.861291463,,
AK,5/1/2004,7.5,0.393966954,,4.786759475,1264.69049,0.148674378,-0.80271753,,
AK,6/1/2004,7.5,0.401681148,0.343018117,5.251328112,1264.941782,0.613280995,-0.688615781,0.596152588,-1.420849424
AK,7/1/2004,7.4,0.309765017,0.322850096,4.090918567,1265.231175,-0.54723561,-0.536284873,-0.801531201,-0.459978917
AK,8/1/2004,7.3,0.218175952,0.160009819,3.542786263,1265.522923,-1.095639677,-0.381384292,-1.457093151,-0.593045663
AK,9/1/2004,7.3,0.226868956,-0.026776561,4.641490389,1265.797913,0.00261254,-0.242939336,-0.376696209,-0.633109069
AK,10/1/2004,7.2,0.135797345,-0.007229743,4.845246368,1266.047394,0.205729475,-0.129610349,-0.488009757,0.051337399
AK,11/1/2004,7.2,0.144912687,0.006754567,4.451022239,1266.271871,-0.189327839,-0.040798832,-0.494356871,-0.313810011
AK,12/1/2004,7.2,0.1541655,0.08824309,4.208087596,1266.487629,-0.433298407,0.039874338,-0.736032623,-0.346385145
AK,1/1/2005,7.1,0.063505186,-0.059971786,4.621921693,1266.718058,-0.020710109,0.135893192,-0.509648143,-0.389306984
AK,2/1/2005,7,-0.027120044,-0.155878529,4.90114478,1266.957078,0.257053515,0.241273494,0.13806923,-0.247253744
AK,3/1/2005,6.9,-0.117762467,-0.120289151,4.131786772,1267.192392,-0.513981254,0.3438081,-0.884895397,0.492793889
AK,4/1/2005,6.9,-0.108474154,0.015446448,4.86234207,1267.428718,0.214674372,0.448309004,-0.238307822,0.79057896
AK,5/1/2005,6.8,-0.199306265,-0.138360448,4.218238518,1267.660114,-0.431553415,0.548922079,-0.862655933,1.005723898
AK,6/1/2005,6.8,-0.190309123,-0.263035223,4.982112012,1267.853575,0.329967978,0.612727119,-0.290054657,0.687048301
AK,7/1/2005,6.8,-0.181531514,-0.169917578,4.269153749,1267.986596,-0.385570229,0.617300202,-0.901339361,0.052100389
AK,8/1/2005,6.9,-0.073020756,-0.048048011,4.254626465,1268.053196,-0.402907824,0.556735989,-0.530043048,-0.067076621
AK,9/1/2005,7,0.035177236,0.212083228,3.983749742,1268.076837,-0.676824768,0.454568947,-0.958166719,0.567036437
AK,10/1/2005,7,0.043017108,0.091187315,4.510384229,1268.09923,-0.153456853,0.35257494,-0.518059751,0.480665251
AK,11/1/2005,7,0.050453235,-0.099376919,4.708503368,1268.136228,0.041178149,0.266673104,-0.190879296,0.702672386
AK,12/1/2005,7,0.057439661,0.117310102,4.968909419,1268.200554,0.297892466,0.209645644,0.258256297,1.159476398
AK,1/1/2006,6.9,-0.03606996,0.092560504,4.975335041,1268.328771,0.300428407,0.218115379,-0.041750588,1.453379914
